bucket,top_similarity,row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,best_candidate_similarity,runner_up_similarity,similarity_field_was_mislabeled,auto_flag,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
ambiguous,0.83,04010179:IP6,"Mustard, leaves, raw",IP6,35.0,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Mustard greens, raw') are too textually similar to the source description (0.83 vs 0.82 similarity) to place confidently",0.83,0.82,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.83,04010179:IP5_A_IP6,"Mustard, leaves, raw",IP5_A_IP6,38.0,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Mustard greens, raw') are too textually similar to the source description (0.83 vs 0.82 similarity) to place confidently",0.83,0.82,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.83,04010222:IP5,"Sesbania, yellow, raw",IP5,3.0,"Sesbania flower, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Sesbania flower, raw', 'Onions, yellow, raw') are too textually similar to the source description (0.83 vs 0.75 similarity) to place confidently",0.83,0.75,,,,,,,,,
ambiguous,0.83,04010222:IP6,"Sesbania, yellow, raw",IP6,6.0,"Sesbania flower, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Sesbania flower, raw', 'Onions, yellow, raw') are too textually similar to the source description (0.83 vs 0.75 similarity) to place confidently",0.83,0.75,,,,,,,,,
ambiguous,0.83,04010222:IP5_A_IP6,"Sesbania, yellow, raw",IP5_A_IP6,9.0,"Sesbania flower, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Sesbania flower, raw', 'Onions, yellow, raw') are too textually similar to the source description (0.83 vs 0.75 similarity) to place confidently",0.83,0.75,,,,,,,,,
ambiguous,0.81,01010109:PHYTC-,"Rice, Green, raw",PHYTC-,40.98,"Peas, green, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Peas, green, raw', 'Turtle, green, raw') are too textually similar to the source description (0.81 vs 0.82 similarity) to place confidently",0.82,0.81,YES,,,,,,,,
ambiguous,0.81,01030089:PHYTCPP,"Bulgur, raw",PHYTCPP,679.0,"Bulgur, dry, raw",foundation_food,fuzzy,"top two name-search candidates ('Bulgur, dry, raw', 'Bulgur, dry') are too textually similar to the source description (0.81 vs 0.82 similarity) to place confidently",0.82,0.81,YES,,,,,,,,
ambiguous,0.81,02010028:PHYT-,"Potato, Sifra, white flesh and skin, raw, peeled",PHYT-,152.0,"Potatoes, white, flesh and skin, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Potatoes, white, flesh and skin, raw', 'Potatoes, white, flesh and skin, baked') are too textually similar to the source description (0.81 vs 0.79 similarity) to place confidently",0.81,0.79,,,,,,,,,
ambiguous,0.81,03020010:PHYTCPPD,"Soybean bran, raw",PHYTCPPD,735.0,"Soybeans, green, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Soybeans, green, raw', 'Oat bran, raw') are too textually similar to the source description (0.81 vs 0.80 similarity) to place confidently",0.81,0.8,,,,,,,,,
ambiguous,0.80,01050213:PHYTCPP,"Ragi, raw",PHYTCPP,306.0,"Borage, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Borage, raw', 'Yam, raw') are too textually similar to the source description (0.80 vs 0.71 similarity) to place confidently",0.8,0.71,,,,,,,,,
ambiguous,0.80,01050215:PHYTCPP,"Varagu, raw",PHYTCPP,452.0,"Asparagus, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Asparagus, raw', 'Borage, raw') are too textually similar to the source description (0.80 vs 0.73 similarity) to place confidently",0.8,0.73,,,,,,,,,
ambiguous,0.80,02010004:PHYT-,"Potato, BP1, white flesh and skin, raw, peeled",PHYT-,235.8,"Potatoes, white, flesh and skin, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Potatoes, white, flesh and skin, raw', 'Potatoes, white, flesh and skin, baked') are too textually similar to the source description (0.80 vs 0.79 similarity) to place confidently",0.8,0.79,,,,,,,,,
ambiguous,0.80,02010010:PHYT-,"Potato, Darius, white flesh and skin, raw, peeled",PHYT-,254.3,"Potatoes, white, flesh and skin, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Potatoes, white, flesh and skin, raw', 'Potatoes, white, flesh and skin, baked') are too textually similar to the source description (0.80 vs 0.78 similarity) to place confidently",0.8,0.78,,,,,,,,,
ambiguous,0.80,04010253:PHYTCPP,"Water spinach, raw",PHYTCPP,2.0,"Spinach, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Spinach, raw', 'New Zealand spinach, raw') are too textually similar to the source description (0.80 vs 0.71 similarity) to place confidently",0.8,0.71,,,,,,,,,
ambiguous,0.80,04030093:PHYTCPP,"Plantain, stems, raw",PHYTCPP,15.33,"Plantains, ripe, raw",foundation_food,fuzzy,"top two name-search candidates ('Plantains, ripe, raw', 'Plantains, green, raw') are too textually similar to the source description (0.80 vs 0.78 similarity) to place confidently",0.8,0.78,,,,,,,,,
ambiguous,0.80,05010041:PHYTCPP,"Peach, raw",PHYTCPP,4.55,"Pears, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Pears, raw', 'Peanuts, raw') are too textually similar to the source description (0.80 vs 0.73 similarity) to place confidently",0.8,0.73,,,,,,,,,
ambiguous,0.80,15010069:PHYTC-,"Mentha, leaves, raw",PHYTC-,57.3,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Amaranth leaves, raw') are too textually similar to the source description (0.80 vs 0.82 similarity) to place confidently",0.82,0.8,YES,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.79,01010341:PHYTCPP,"Rice, white, short grains, raw",PHYTCPP,183.12,"Rice, white, short-grain, raw, unenriched",sr_legacy_food,fuzzy,"top two name-search candidates ('Rice, white, short-grain, raw, unenriched', 'Rice, white, short-grain, enriched, cooked') are too textually similar to the source description (0.79 vs 0.72 similarity) to place confidently",0.79,0.72,,,,,,,,,
ambiguous,0.79,01020036:PHYTCPP,"Corn, ground, raw",PHYTCPP,100.0,"Emu, ground, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Emu, ground, raw', 'Lamb, ground, raw') are too textually similar to the source description (0.79 vs 0.76 similarity) to place confidently",0.79,0.76,,,,,,,,,
ambiguous,0.79,01030208:PHYTCPP,"Wheat flour, white, refined",PHYTCPP,147.0,"Wheat flour, white, cake, enriched",sr_legacy_food,fuzzy,"top two name-search candidates ('Wheat flour, white, cake, enriched', 'Wheat flour, white, bread, enriched') are too textually similar to the source description (0.79 vs 0.81 similarity) to place confidently",0.81,0.79,YES,,,,,,,,
ambiguous,0.79,02010031:PHYT-,"Potato, Valor, white flesh and skin, raw, peeled",PHYT-,254.0,"Potatoes, white, flesh and skin, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Potatoes, white, flesh and skin, raw', 'Potatoes, white, flesh and skin, baked') are too textually similar to the source description (0.79 vs 0.77 similarity) to place confidently",0.79,0.77,,,,,,,,,
ambiguous,0.79,02060013:PHYTCPP,"Plantain, unripe, boiled",PHYTCPP,1.0,"Plantains, green, boiled",sr_legacy_food,fuzzy,"top two name-search candidates ('Plantains, green, boiled', 'Plantains, underripe, raw') are too textually similar to the source description (0.79 vs 0.73 similarity) to place confidently",0.79,0.73,,,,,,,,,
ambiguous,0.79,02060014:PHYTCPP,"Plantain, unripe, boiled",PHYTCPP,34.0,"Plantains, green, boiled",sr_legacy_food,fuzzy,"top two name-search candidates ('Plantains, green, boiled', 'Plantains, underripe, raw') are too textually similar to the source description (0.79 vs 0.73 similarity) to place confidently",0.79,0.73,,,,,,,,,
ambiguous,0.79,03010124:IP4,"Black bean, raw",IP4,4.41,"BLACK BEANS, BLACK",branded_food,fuzzy,"top two name-search candidates ('BLACK BEANS, BLACK', 'BLACK BEANS') are too textually similar to the source description (0.79 vs 0.77 similarity) to place confidently",0.79,0.77,,,,,,,,,
ambiguous,0.79,03010124:IP5,"Black bean, raw",IP5,53.802,"BLACK BEANS, BLACK",branded_food,fuzzy,"top two name-search candidates ('BLACK BEANS, BLACK', 'BLACK BEANS') are too textually similar to the source description (0.79 vs 0.77 similarity) to place confidently",0.79,0.77,,,,,,,,,
ambiguous,0.79,03010124:IP6,"Black bean, raw",IP6,338.68800000000005,"BLACK BEANS, BLACK",branded_food,fuzzy,"top two name-search candidates ('BLACK BEANS, BLACK', 'BLACK BEANS') are too textually similar to the source description (0.79 vs 0.77 similarity) to place confidently",0.79,0.77,,,,,,,,,
ambiguous,0.79,03010124:IPSUM,"Black bean, raw",IPSUM,396.9,"BLACK BEANS, BLACK",branded_food,fuzzy,"top two name-search candidates ('BLACK BEANS, BLACK', 'BLACK BEANS') are too textually similar to the source description (0.79 vs 0.77 similarity) to place confidently",0.79,0.77,,,,,,,,,
ambiguous,0.79,03010729:PHYTCPPI,"Winged bean, 207, raw",PHYTCPPI,708.0,"Winged bean tuber, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Winged bean tuber, raw', 'Winged bean leaves, raw') are too textually similar to the source description (0.79 vs 0.77 similarity) to place confidently",0.79,0.77,,,,,,,,,
ambiguous,0.79,04010086:PHYTCPP,"Cabbage, Chinese, raw",PHYTCPP,16.85,"Cabbage, chinese (pak-choi), raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Cabbage, chinese (pak-choi), raw', 'Cabbage, chinese (pe-tsai), raw') are too textually similar to the source description (0.79 vs 0.81 similarity) to place confidently",0.81,0.79,YES,,,,,,,,
ambiguous,0.79,04010128:PHYTCPP,"Dima, leaves, raw",PHYTCPP,1.0,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.79 vs 0.76 similarity) to place confidently",0.79,0.76,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.79,04010159:PHYTCPP,"Jute, leaves, raw",PHYTCPP,14.0,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.79 vs 0.76 similarity) to place confidently",0.79,0.76,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.79,04010160:PHYTC-,"Jute, leaves, raw",PHYTC-,33.7,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.79 vs 0.76 similarity) to place confidently",0.79,0.76,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.79,04020005:PHYTCPP,"Carrot, red, raw",PHYTCPP,17.03,"Carrots, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Carrots, raw', 'Carrots, baby, raw') are too textually similar to the source description (0.79 vs 0.76 similarity) to place confidently",0.79,0.76,,,,,,,,,
ambiguous,0.79,04030090:PHYTCPP,"Onion, small, raw",PHYTCPP,8.28,"Onions, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Onions, raw', 'Onions, sweet, raw') are too textually similar to the source description (0.79 vs 0.74 similarity) to place confidently",0.79,0.74,,,,,,,,,
ambiguous,0.79,04030091:PHYTCPP,"Onion, stalk, raw",PHYTCPP,61.02,"Onions, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Onions, raw', 'Onions, sweet, raw') are too textually similar to the source description (0.79 vs 0.80 similarity) to place confidently",0.8,0.79,YES,,,,,,,,
ambiguous,0.79,05020072:PHYTCPP,"Strawberry, raw",PHYTCPP,25.07,"Guavas, strawberry, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Guavas, strawberry, raw', 'Strawberries, raw') are too textually similar to the source description (0.79 vs 0.88 similarity) to place confidently",0.88,0.79,YES,,,,,,,,
ambiguous,0.79,15010043:PHYTCPP,"Curry leaves, raw",PHYTCPP,40.99,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.79 vs 0.76 similarity) to place confidently",0.79,0.76,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.79,15010071:PHYTCPP,"Mint, leaves, raw",PHYTCPP,48.05,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.79 vs 0.71 similarity) to place confidently",0.79,0.71,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.78,03010134:PHYTCPPI,Chickpea flour,PHYTCPPI,914.782638,Chickpea flour (besan),sr_legacy_food,canonical,"top two name-search candidates ('Chickpea flour (besan)', 'EL TRIGAL CHICKPEA FLOUR') are too textually similar to the source description (0.78 vs 0.74 similarity) to place confidently",0.78,0.74,,,,,,,,,
ambiguous,0.78,03010365:PHYTCPP,"Cowpea, white, raw",PHYTCPP,573.0,"Corn, sweet, white, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Corn, sweet, white, raw', 'Onions, white, raw') are too textually similar to the source description (0.78 vs 0.72 similarity) to place confidently",0.78,0.72,,,,,,,,,
ambiguous,0.78,03010714:PHYTCPPI,"Winged bean, 034(b), raw",PHYTCPPI,713.0,"Winged bean tuber, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Winged bean tuber, raw', 'Winged bean leaves, raw') are too textually similar to the source description (0.78 vs 0.72 similarity) to place confidently",0.78,0.72,,,,,,,,,
ambiguous,0.78,03010721:PHYTCPPI,"Winged bean, 051(b), raw",PHYTCPPI,676.0,"Winged bean tuber, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Winged bean tuber, raw', 'Winged bean leaves, raw') are too textually similar to the source description (0.78 vs 0.72 similarity) to place confidently",0.78,0.72,,,,,,,,,
ambiguous,0.78,03010724:PHYTCPPI,"Winged bean, 181(b), raw",PHYTCPPI,752.0,"Winged bean tuber, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Winged bean tuber, raw', 'Winged bean leaves, raw') are too textually similar to the source description (0.78 vs 0.72 similarity) to place confidently",0.78,0.72,,,,,,,,,
ambiguous,0.78,03010727:PHYTCPPI,"Winged bean, 195(b), raw",PHYTCPPI,750.0,"Winged bean tuber, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Winged bean tuber, raw', 'Winged bean leaves, raw') are too textually similar to the source description (0.78 vs 0.72 similarity) to place confidently",0.78,0.72,,,,,,,,,
ambiguous,0.78,06010032:PHYTCPPI,"Brazil nut, raw",PHYTCPPI,190.0,"Nuts, brazilnuts, raw",foundation_food,fuzzy,"top two name-search candidates ('Nuts, brazilnuts, raw', 'AMERICAN BRAZIL NUTS RAW') are too textually similar to the source description (0.78 vs 0.72 similarity) to place confidently",0.78,0.72,,,,,,,,,
ambiguous,0.78,15010037:PHYTCPP,"Coriander, leaves, raw",PHYTCPP,38.68,"Coriander (cilantro) leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Coriander (cilantro) leaves, raw', 'Taro leaves, raw') are too textually similar to the source description (0.78 vs 0.68 similarity) to place confidently",0.78,0.68,,,,,,,,,
ambiguous,0.77,01030207:PHYT-,"Wheat flour, white, packaged",PHYT-,320.0,"Wheat flour, white, cake, enriched",sr_legacy_food,fuzzy,"top two name-search candidates ('Wheat flour, white, cake, enriched', 'Wheat flour, white, bread, enriched') are too textually similar to the source description (0.77 vs 0.76 similarity) to place confidently",0.77,0.76,,,,,,,,,
ambiguous,0.77,01050076:PHYT-,Finger millet flour,PHYT-,536.434,Millet flour,sr_legacy_food,fuzzy,"top two name-search candidates ('Millet flour', 'NAMASTE MILLET FLOUR') are too textually similar to the source description (0.77 vs 0.77 similarity) to place confidently",0.77,0.77,,,,,,,,,
ambiguous,0.77,02010002:PHYT-,"Potato, Avalanche, white flesh and skin, raw, peeled",PHYT-,338.0,"Potatoes, white, flesh and skin, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Potatoes, white, flesh and skin, raw', 'Potatoes, white, flesh and skin, baked') are too textually similar to the source description (0.77 vs 0.76 similarity) to place confidently",0.77,0.76,,,,,,,,,
ambiguous,0.77,02010018:PHYT-,"Potato, Mondial, white flesh and skin, raw, peeled",PHYT-,203.5,"Potatoes, white, flesh and skin, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Potatoes, white, flesh and skin, raw', 'Potatoes, white, flesh and skin, baked') are too textually similar to the source description (0.77 vs 0.75 similarity) to place confidently",0.77,0.75,,,,,,,,,
ambiguous,0.77,03020034:PHYTCPPD,"Soybean, Asmara, mature seed (6 weeks), raw",PHYTCPPD,965.7,"Soybeans, mature seeds, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Soybeans, mature seeds, raw', 'Soybeans, mature seeds, sprouted, raw') are too textually similar to the source description (0.77 vs 0.70 similarity) to place confidently",0.77,0.7,,,,,,,,,
ambiguous,0.77,03020077:PHYTCPP,"Soybean, white, raw",PHYTCPP,460.0,"Soybeans, green, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Soybeans, green, raw', 'Onions, white, raw') are too textually similar to the source description (0.77 vs 0.70 similarity) to place confidently",0.77,0.7,,,,,,,,,
ambiguous,0.77,04010139:PHYT-,"Ficus, leaves, raw",PHYT-,135.49,"Fireweed, leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Fireweed, leaves, raw', 'Taro leaves, raw') are too textually similar to the source description (0.77 vs 0.71 similarity) to place confidently",0.77,0.71,,,,,,,,,
ambiguous,0.77,04010140:PHYT-,"Ficus, leaves, raw",PHYT-,107.88699999999999,"Fireweed, leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Fireweed, leaves, raw', 'Taro leaves, raw') are too textually similar to the source description (0.77 vs 0.71 similarity) to place confidently",0.77,0.71,,,,,,,,,
ambiguous,0.77,04010141:PHYT-,"Ficus, leaves, raw",PHYT-,303.264,"Fireweed, leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Fireweed, leaves, raw', 'Taro leaves, raw') are too textually similar to the source description (0.77 vs 0.71 similarity) to place confidently",0.77,0.71,,,,,,,,,
ambiguous,0.77,04010142:PHYT-,"Ficus, leaves, raw",PHYT-,209.30399999999997,"Fireweed, leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Fireweed, leaves, raw', 'Taro leaves, raw') are too textually similar to the source description (0.77 vs 0.71 similarity) to place confidently",0.77,0.71,,,,,,,,,
ambiguous,0.77,04010143:PHYT-,"Ficus, leaves, raw",PHYT-,215.122,"Fireweed, leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Fireweed, leaves, raw', 'Taro leaves, raw') are too textually similar to the source description (0.77 vs 0.71 similarity) to place confidently",0.77,0.71,,,,,,,,,
ambiguous,0.77,04030087:PHYTCPP,"Onion, big, raw",PHYTCPP,13.9,"Onions, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Onions, raw', 'Onions, red, raw') are too textually similar to the source description (0.77 vs 0.77 similarity) to place confidently",0.77,0.77,,,,,,,,,
ambiguous,0.77,05020026:PHYTCPPI,"Fig, green, raw",PHYTCPPI,4.8,"Peas, green, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Peas, green, raw', 'Turtle, green, raw') are too textually similar to the source description (0.77 vs 0.73 similarity) to place confidently",0.77,0.73,,,,,,,,,
ambiguous,0.77,06010105:PHYT-,"Melon, seed kernel, dried",PHYT-,364.0,"Seeds, watermelon seed kernels, dried",sr_legacy_food,fuzzy,"top two name-search candidates ('Seeds, watermelon seed kernels, dried', 'Seeds, safflower seed kernels, dried') are too textually similar to the source description (0.77 vs 0.72 similarity) to place confidently",0.77,0.72,,,,,,,,,
ambiguous,0.77,06010106:PHYT-,"Melon, seed kernel, dried",PHYT-,460.0,"Seeds, watermelon seed kernels, dried",sr_legacy_food,fuzzy,"top two name-search candidates ('Seeds, watermelon seed kernels, dried', 'Seeds, safflower seed kernels, dried') are too textually similar to the source description (0.77 vs 0.72 similarity) to place confidently",0.77,0.72,,,,,,,,,
ambiguous,0.77,06010107:PHYT-,"Melon, seed kernel, dried",PHYT-,368.0,"Seeds, watermelon seed kernels, dried",sr_legacy_food,fuzzy,"top two name-search candidates ('Seeds, watermelon seed kernels, dried', 'Seeds, safflower seed kernels, dried') are too textually similar to the source description (0.77 vs 0.72 similarity) to place confidently",0.77,0.72,,,,,,,,,
ambiguous,0.76,02010030:PHYT-,"Potato, Up-To-Date, white flesh and skin, raw, peeled",PHYT-,50.02,"Potatoes, white, flesh and skin, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Potatoes, white, flesh and skin, raw', 'Potatoes, white, flesh and skin, baked') are too textually similar to the source description (0.76 vs 0.75 similarity) to place confidently",0.76,0.75,,,,,,,,,
ambiguous,0.76,04010110:PHYTC-,"Centella, leaves, raw",PHYTC-,43.9,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.76 vs 0.68 similarity) to place confidently",0.76,0.68,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.76,04010130:IP5,"Ebolo, leaves, raw",IP5,1.8328000000000002,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.76 vs 0.74 similarity) to place confidently",0.76,0.74,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.76,04010130:IP6,"Ebolo, leaves, raw",IP6,122.56199999999998,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.76 vs 0.74 similarity) to place confidently",0.76,0.74,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.76,04010163:IP6,"Katuk, leaves, raw",IP6,187.44,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.76 vs 0.74 similarity) to place confidently",0.76,0.74,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.76,04010164:PHYTCPPI,"Kilob, leaves, raw",PHYTCPPI,10.7,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.76 vs 0.69 similarity) to place confidently",0.76,0.69,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.76,04010201:PHYTCPP,"Plantain, flowers, raw",PHYTCPP,2.52,"Pumpkin flowers, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Pumpkin flowers, raw', 'Plantains, yellow, raw') are too textually similar to the source description (0.76 vs 0.82 similarity) to place confidently",0.82,0.76,YES,,,,,,,,
ambiguous,0.76,04010202:PHYTC-,"Plantain, flowers, raw",PHYTC-,15.6,"Pumpkin flowers, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Pumpkin flowers, raw', 'Plantains, yellow, raw') are too textually similar to the source description (0.76 vs 0.82 similarity) to place confidently",0.82,0.76,YES,,,,,,,,
ambiguous,0.76,04010254:PHYTCPPI,"Waterleaf leaves, raw",PHYTCPPI,0.62,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Grape leaves, raw') are too textually similar to the source description (0.76 vs 0.74 similarity) to place confidently",0.76,0.74,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.76,04030022:IP5,"Cucumber, bitter, raw",IP5,2.0,"Cucumber, peeled, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Cucumber, peeled, raw', 'Cucumber, with peel, raw') are too textually similar to the source description (0.76 vs 0.80 similarity) to place confidently",0.8,0.76,YES,,,,,,,,
