row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,was_in_794_shortlist,known_pattern,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
16010030:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,143.944,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010031:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,296.866,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010032:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,432.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010033:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,90.4813,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010034:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,46.7086,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010035:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,56.7036,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010036:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,55.5351,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010037:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,313.308,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010038:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,598.17,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010039:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,493.506,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010040:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,508.346,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010041:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,535.34,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010042:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,303.18,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010043:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,107.068,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010044:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,560.978,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010045:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,561.974,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010046:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,433.92,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010047:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,408.96,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010048:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,441.005,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010049:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,429.71,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010050:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,580.32,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010051:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,465.192,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010052:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,142.416,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010053:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,215.698,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010054:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,144.394,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010055:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,17.712,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010056:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,6.9895,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010057:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,127.744,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010058:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,193.612,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010059:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,222.5763,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010060:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,216.0669,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010061:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,74.9175,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010062:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,297.6126,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010063:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,93.8496,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010064:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,0.0,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010065:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,60.8048,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010066:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,284.259,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010067:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,255.616,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010068:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,169.796,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010069:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,179.73,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010070:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,78.9289,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010071:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,260.478,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010072:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,23.9784,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010073:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,275.8068,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010074:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,264.6555,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010075:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,159.904,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010076:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,265.5478,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010077:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,0.0,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010078:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,33.796,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010079:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,185.932,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
