row_identifier,food_description,compound_fraction,value,food_id,fdc_id,approved_fdc_food,data_type,review_verdict,match_scope,reviewer,review_date,review_notes,catalogue_checksum
01010061:PHYTCA,Rice flour,PHYTCA,210.0,1772,168898,"Rice flour, brown",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- a reasonable default, no strong reason to doubt.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010063:PHYTCPPD,"Rice, Agb0101, brown, genetically modified, raw",PHYTCPPD,649.116,528281,1338250,"General Mills, Inc. BROWN RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"GM breeding-line-specific source, reasonable generic brown-rice category estimate; cultivar specificity not preserved.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010065:PHYTCPP,"Rice, Bar68-1, brown, genetically modified, raw, milled",PHYTCPP,167.96,528281,1338250,"General Mills, Inc. BROWN RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"GM breeding-line-specific source, reasonable generic brown-rice category estimate; cultivar specificity not preserved.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010066:PHYTCPP,"Rice, Bar68-1, brown, genetically modified, raw",PHYTCPP,210.23999999999998,528281,1338250,"General Mills, Inc. BROWN RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"GM breeding-line-specific source, reasonable generic brown-rice category estimate -- cultivar specificity not preserved, same caveat as similar clusters throughout this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010071:PHYTCPPD,"Rice, Bg 352/Bg300, parboiled",PHYTCPPD,231.42,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010072:PHYTCPPD,"Rice, Bg 352/Bg300, parboiled",PHYTCPPD,194.48,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010073:PHYTCPPD,"Rice, Bg 352/Bg300, parboiled",PHYTCPPD,95.92,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010074:PHYTCPPD,"Rice, Bg 352/Bg300, parboiled",PHYTCPPD,53.07,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010079:PHYTCPPD,"Rice, Bg 379-2, parboiled",PHYTCPPD,267.96,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010080:PHYTCPPD,"Rice, Bg 379-2, parboiled",PHYTCPPD,73.95,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010084:PHYTCPPD,"Rice, Bg94-1/At354, parboiled",PHYTCPPD,127.89,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010087:PHYTC-,"Rice, black, raw",PHYTC-,130.92,353,2710825,"Rice, black, unenriched, raw",foundation_food,approve,category_estimate,Paul S,16/08/2026,Clean match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010091:PHYTCPP,"Rice, BR-28, parboiled, milled",PHYTCPP,99.0,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010093:PHYTCPP,"Rice, brown, germinated, raw",PHYTCPP,965.47,430131,1177050,The J.M. Smucker Company GERMINATED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Germinated matches germinated, brown rice matches brown rice -- clean match; specific cultivar/soak-duration not captured.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010094:PHYTCPP,"Rice, brown, raw",PHYTCPP,1548.75,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar/GM-line specificity not preserved, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010095:IP6,"Rice, brown, raw",IP6,721.27,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,Clean match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010096:PHYTC-,"Rice, brown, raw",PHYTC-,23.79,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar/GM-line specificity not preserved, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010097:PHYTCPP,"Rice, brown, raw",PHYTCPP,742.0,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar/GM-line specificity not preserved, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010099:PHYTCPPI,"Rice, Calrose, brown, raw",PHYTCPPI,792.528,191930,564762,BOTAN CALROSE BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,Clean cultivar/prep-state match (raw vs raw).,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010103:PHYTCPP,"Rice, D68, brown, raw",PHYTCPP,219.25,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar-specific source, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010105:PHYTCPP,"Rice, flaked",PHYTCPP,851.0,126025,471667,"Hy-Vee, Inc. TOASTED RICE FLAKES",branded_food,approve,category_estimate,Paul S,16/08/2026,"""Flaked"" doesn't confirm toasting; candidate assumes a toasted product -- category estimate with that caveat, no better plain-flaked option evident.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010106:PHYTCPP,"Rice, flaked",PHYTCPP,474.0,126025,471667,"Hy-Vee, Inc. TOASTED RICE FLAKES",branded_food,approve,category_estimate,Paul S,16/08/2026,Same toasting caveat as above.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010110:PHYTCPPD,"Rice, H-4, parboiled",PHYTCPPD,368.72,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010114:PHYTCPP,"Rice, Indica, brown, raw",PHYTCPP,291.72,1284831,2547324,INSTANT BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Raw vs instant (pre-cooked) is a real prep-state gap, but no better candidate identified -- category estimate with that caveat.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010116:PHYTCPP,"Rice, Indica, Liangyou 2186, brown, raw",PHYTCPP,291.72,1284831,2547324,INSTANT BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,Same as above -- raw vs instant prep-state caveat.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010118:PHYTCPP,"Rice, Indica, Liangyou Kefeng No. 6, brown, genetically modified, raw",PHYTCPP,263.1,528281,1338250,"General Mills, Inc. BROWN RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"GM breeding-line-specific source, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010120:PP-,"Rice, IR 32, brown, raw",PP-,355.2147239263804,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar-specific source, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010125:PP-,"Rice, IR 480-5-9, brown, raw",PP-,994.6012269938651,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar-specific source, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010130:PHYTCPP,"Rice, IRR, brown, raw",PHYTCPP,263.1,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar-specific source, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010288:PHYTCPPD,"Rice, Ld 355/Bg450, parboiled",PHYTCPPD,23.76,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010300:PHYTCPPD,"Rice, milled, steamed",PHYTCPPD,29.718,73226,398843,GRAIN TRUST STEAMED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Milled rice, steamed matches steamed -- reasonable match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010301:PHYTCPPD,"Rice, milled, steamed",PHYTCPPD,26.499,73226,398843,GRAIN TRUST STEAMED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Milled rice, steamed matches steamed -- reasonable match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010302:PHYTCPPD,"Rice, milled, steamed",PHYTCPPD,23.94,73226,398843,GRAIN TRUST STEAMED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Milled rice, steamed matches steamed -- reasonable match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010303:PHYTCPPD,"Rice, milled, steamed",PHYTCPPD,71.736,73226,398843,GRAIN TRUST STEAMED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Milled rice, steamed matches steamed -- reasonable match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010305:PHYTCPPD,"Rice, Nakdongbyeo, brown, raw",PHYTCPPD,612.858,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar-specific source, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010308:PHYTCPP,"Rice, Panjin Pearl, raw",PHYTCPP,131.0,1302179,2569712,OG BLACK PEARL RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Panjin is a region associated with black/pigmented rice, so a black-pearl-rice candidate is a plausible cultivar match; raw/raw prep aligns.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010309:PHYTCPP,"Rice, Panjin Pearl, steamed",PHYTCPP,38.0,73226,398843,GRAIN TRUST STEAMED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar-specific, steamed matches steamed.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010312:PHYTCPP,"Rice, parboiled, milled",PHYTCPP,274.0,52285,369316,"ARROZ ARROZ, PARBOILED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Source explicitly states parboiled, matching the candidate's own parboiled process -- genuine match, unlike a plain ""boiled"" source being matched to a parboiled candidate elsewhere in this review.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010315:PHYTCPP,"Rice, puffed",PHYTCPP,115.0,6566,173912,"Cereals ready-to-eat, rice, puffed, fortified",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Clean match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010316:PHYTCPP,"Rice, puffed, salted",PHYTCPP,656.0,106570,446204,"Ahold USA, Inc. PUFFED RICE",branded_food,approve,category_estimate,Paul S,16/08/2026,"Genuine puffed rice match; ""salted"" seasoning not confirmed but category correct.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010321:PHYTCPPI,"Rice, RD-7, brown, germinated, dried",PHYTCPPI,1048.11,430131,1177050,The J.M. Smucker Company GERMINATED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Germinated matches germinated, brown rice matches brown rice -- clean match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010322:PHYTCPPI,"Rice, RD-8, brown, raw, dehulled",PHYTCPPI,3844.8,220768,604461,Raley's BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Cultivar-specific source, reasonable generic brown-rice category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010323:PHYTCPPI,"Rice, RD-8, brown, water-soaked",PHYTCPPI,2403.1929999999998,262967,721430,"STATER BROS. WHOLE GRAIN BROWN RICE, WHOLE GRAIN",branded_food,approve,category_estimate,Paul S,16/08/2026,"Soaked vs raw grain, minor prep gap -- reasonable category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010324:PHYTCPPI,"Rice, RD-8, brown, water-soaked, 1d germinated",PHYTCPPI,2074.272,430131,1177050,The J.M. Smucker Company GERMINATED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,Good match -- germinated matches germinated.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010325:PHYTCPPI,"Rice, RD-8, brown, water-soaked, 2d germinated",PHYTCPPI,1752.975,430131,1177050,The J.M. Smucker Company GERMINATED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Germinated matches germinated, brown rice matches brown rice -- clean match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010326:PHYTCPPI,"Rice, RD-8, brown, water-soaked, 3d germinated",PHYTCPPI,1150.92,430131,1177050,The J.M. Smucker Company GERMINATED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Germinated matches germinated, brown rice matches brown rice -- clean match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010327:PHYTCPPI,"Rice, RD-8, brown, water-soaked, 4d germinated",PHYTCPPI,827.382,430131,1177050,The J.M. Smucker Company GERMINATED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"Germinated matches germinated, brown rice matches brown rice -- clean match.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010329:PHYTCPPI,"Rice, rough, germinated, dried",PHYTCPPI,835.2679999999999,430131,1177050,The J.M. Smucker Company GERMINATED BROWN RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,"""Rough"" (unmilled) specificity not captured, but germinated brown rice category correct.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010334:PHYTC-,"Rice, unpolished, raw",PHYTC-,551.8,353,2710825,"Rice, black, unenriched, raw",foundation_food,approve,category_estimate,Paul S,16/08/2026,"'Unpolished' doesn't confirm the black-rice variety, but still same broad rice-with-bran category -- category estimate with variety caveat.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010335:IP6,"Rice, white medium grain, polished, boiled",IP6,47.57,1753,168879,"Rice, white, medium-grain, raw, enriched",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Boiled vs raw prep differs but same grain type -- category estimate with prep caveat.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010337:PHYTCPP,"Rice, white, long grains, raw",PHYTCPP,69.68,276,2512381,"Rice, white, long grain, unenriched, raw",foundation_food,approve,category_estimate,Paul S,16/08/2026,Clean/exact match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010339:PHYTCPPI,"Rice, Calrose, white, raw",PHYTCPPI,116.64,168978,532005,HINODE CALROSE WHITE RICE,branded_food,approve,category_estimate,Paul S,16/08/2026,Clean cultivar/prep-state match (raw vs raw).,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010341:PHYTCPP,"Rice, white, short grains, raw",PHYTCPP,183.12,1805,168931,"Rice, white, short-grain, raw, unenriched",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Clean match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010342:PHYTCPP,"Rice, white, sunned, aromatic",PHYTCPP,92.0,1351877,2631073,"Kennedy Rice Mill, LLC JASMINE WHITE AROMATIC RICE, JASMINE WHITE",branded_food,approve,category_estimate,Paul S,16/08/2026,Aromatic rice category reasonably matched to a jasmine (common aromatic variety) product.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020001:PHYTC-,"Bread, corn-based",PHYTC-,216.0,220617,604256,"CORN BREAD, CORN",branded_food,approve,category_estimate,Paul S,16/08/2026,Corn bread matches corn bread.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020002:PHYTCPP,"Bread, corn-based, leavened",PHYTCPP,61.0,220617,604256,"CORN BREAD, CORN",branded_food,approve,category_estimate,Paul S,16/08/2026,Corn bread matches corn bread; leavening is typical/implicit.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020004:PHYTCPP,"Bread, corn-based, unleavened",PHYTCPP,18.0,220617,604256,"CORN BREAD, CORN",branded_food,approve,category_estimate,Paul S,16/08/2026,Good match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020006:PHYTC-,"Bread, full corn-based",PHYTC-,235.6,220617,604256,"CORN BREAD, CORN",branded_food,approve,category_estimate,Paul S,16/08/2026,"""Full corn"" nuance not captured, but corn bread category correct.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020008:IP5_A_IP6,"Bread, maize-based, unleavened",IP5_A_IP6,394.0,960,168070,"Restaurant, Latino, arepa (unleavened cornmeal bread)",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Arepa genuinely is an unleavened cornmeal bread -- good match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020012:IP5,"Breakfast cereal, cornflakes",IP5,29.0,1368271,2657078,"CORN FLAKES CEREAL, CORN FLAKES",branded_food,approve,category_estimate,Paul S,16/08/2026,Generic corn flakes cereal matches cornflakes; category correct.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020012:IP6,"Breakfast cereal, cornflakes",IP6,46.199999999999996,1368271,2657078,"CORN FLAKES CEREAL, CORN FLAKES",branded_food,approve,category_estimate,Paul S,16/08/2026,Generic corn flakes cereal matches cornflakes; category correct.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020018:PHYTCPP,Corn flour,PHYTCPP,310.0,2608,169748,"Corn flour, whole-grain, white",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Clean match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020021:PHYTCPP,Corn starch,PHYTCPP,0.0,68114,391672,RAPUNZEL ORGANIC CORN STARCH,branded_food,approve,category_estimate,Paul S,16/08/2026,Clean match (corn starch).,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020035:PHYTCPP,"Corn, flake, raw",PHYTCPP,275.0,1368271,2657078,"CORN FLAKES CEREAL, CORN FLAKES",branded_food,approve,category_estimate,Paul S,16/08/2026,Flaked corn reasonably corresponds to corn flakes cereal.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020039:PP-,"Corn, low phytate, grain, raw",PP-,100,3135,170288,"Corn grain, yellow",sr_legacy_food,approve,category_estimate,Paul S,06/08/2026,"DRAFT -- confirm before sign-off. Genus/category correctly matches (corn), but this is an explicitly bred LOW-PHYTATE cultivar -- collapsing it onto the generic ""Corn grain, yellow"" entry loses exactly the trait distinction this feature exists to serve (mineral content / breeding-line phytate reduction, per the review protocol's stated priority). Approved as category_estimate rather than exact, with this caveat explicit -- a future matching-rule improvement should consider a way to preserve breeding-line identity rather than collapsing to the generic entry.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020040:PHYTC-,"Corn, meal",PHYTC-,687.3,1270420,2526886,PRECOOKED CORN MEAL,branded_food,approve,category_estimate,Paul S,16/08/2026,"Precooked vs presumably-raw meal, minor prep caveat -- reasonable category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020051:PHYTCPP,"Dumplings, corn-based, boiled in corn leaves",PHYTCPP,107.0,1258326,2506773,"Ito, Inc. PLANT-BASED DUMPLINGS",branded_food,approve,category_estimate,Paul S,16/08/2026,"Corn-based dumplings, generic plant-based dumplings candidate reasonable.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020052:IP5,"Dumplings, corn-based, boiled in corn leaves",IP5,29.0,1258326,2506773,"Ito, Inc. PLANT-BASED DUMPLINGS",branded_food,approve,category_estimate,Paul S,16/08/2026,"Corn-based dumplings, generic plant-based dumplings candidate reasonable.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020052:IP5_A_IP6,"Dumplings, corn-based, boiled in corn leaves",IP5_A_IP6,44.0,1258326,2506773,"Ito, Inc. PLANT-BASED DUMPLINGS",branded_food,approve,category_estimate,Paul S,16/08/2026,"Corn-based dumplings, generic plant-based dumplings candidate reasonable.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01020052:IP6,"Dumplings, corn-based, boiled in corn leaves",IP6,15.0,1258326,2506773,"Ito, Inc. PLANT-BASED DUMPLINGS",branded_food,approve,category_estimate,Paul S,16/08/2026,"Corn-based dumplings, generic plant-based dumplings candidate reasonable.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
