row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_confidence,rationale,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01010155:PHYTCPPI,"Rice, Japonica, Huajing6, dehulled, dried, moderate N fertilization",PHYTCPPI,737.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huajing6, dehulled, dried, moderate N fertilization), value 737.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010157:PHYTCPPI,"Rice, Japonica, Nanjing43, dehulled, dried, high N fertilization",PHYTCPPI,685.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Nanjing43, dehulled, dried, high N fertilization), value 685.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010158:PHYTCPPI,"Rice, Japonica, Nanjing43, dehulled, dried, high N fertilization",PHYTCPPI,665.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Nanjing43, dehulled, dried, high N fertilization), value 665.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010159:PHYTCPPI,"Rice, Japonica, Nanjing43, dehulled, dried, moderate N fertilization",PHYTCPPI,739.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Nanjing43, dehulled, dried, moderate N fertilization), value 739.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010160:PHYTCPPI,"Rice, Japonica, Nanjing43, dehulled, dried, moderate N fertilization",PHYTCPPI,675.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Nanjing43, dehulled, dried, moderate N fertilization), value 675.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010162:PHYTCPPI,"Rice, Japonica, Ningjing1, dehulled, dried, high N fertilization",PHYTCPPI,613.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Ningjing1, dehulled, dried, high N fertilization), value 613.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010163:PHYTCPPI,"Rice, Japonica, Ningjing1, dehulled, dried, high N fertilization",PHYTCPPI,626.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Ningjing1, dehulled, dried, high N fertilization), value 626.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010167:PHYTCPPI,"Rice, Japonica, Ningjing2, dehulled, dried, high N fertilization",PHYTCPPI,703.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Ningjing2, dehulled, dried, high N fertilization), value 703.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010168:PHYTCPPI,"Rice, Japonica, Ningjing2, dehulled, dried, high N fertilization",PHYTCPPI,689.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Ningjing2, dehulled, dried, high N fertilization), value 689.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010172:PHYTCPPI,"Rice, Japonica, Ningjing3, dehulled, dried, high N fertilization",PHYTCPPI,837.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Ningjing3, dehulled, dried, high N fertilization), value 837.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010173:PHYTCPPI,"Rice, Japonica, Ningjing3, dehulled, dried, high N fertilization",PHYTCPPI,790.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Ningjing3, dehulled, dried, high N fertilization), value 790.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010177:PHYTCPPI,"Rice, Japonica, Sidao10, dehulled, dried, high N fertilization",PHYTCPPI,639.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Sidao10, dehulled, dried, high N fertilization), value 639.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010178:PHYTCPPI,"Rice, Japonica, Sidao10, dehulled, dried, high N fertilization",PHYTCPPI,627.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Sidao10, dehulled, dried, high N fertilization), value 627.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010179:PHYTCPPI,"Rice, Japonica, Sidao10, dehulled, dried, moderate N fertilization",PHYTCPPI,768.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Sidao10, dehulled, dried, moderate N fertilization), value 768.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010180:PHYTCPPI,"Rice, Japonica, Sidao10, dehulled, dried, moderate N fertilization",PHYTCPPI,707.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Sidao10, dehulled, dried, moderate N fertilization), value 707.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010182:PHYTCPPI,"Rice, Japonica, Sujing45, dehulled, dried, high N fertilization",PHYTCPPI,698.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Sujing45, dehulled, dried, high N fertilization), value 698.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010183:PHYTCPPI,"Rice, Japonica, Sujing45, dehulled, dried, high N fertilization",PHYTCPPI,655.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Sujing45, dehulled, dried, high N fertilization), value 655.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010219:PHYTCPPI,"Rice, Japonica, Wuyujing3, dehulled, dried, moderate N fertilization",PHYTCPPI,785.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Wuyujing3, dehulled, dried, moderate N fertilization), value 785.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010220:PHYTCPPI,"Rice, Japonica, Wuyujing3, dehulled, dried, moderate N fertilization",PHYTCPPI,787.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Wuyujing3, dehulled, dried, moderate N fertilization), value 787.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010222:PHYTCPPI,"Rice, Japonica, Xiushui09, dehulled, dried, high N fertilization",PHYTCPPI,670.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui09, dehulled, dried, high N fertilization), value 670.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010223:PHYTCPPI,"Rice, Japonica, Xiushui09, dehulled, dried, high N fertilization",PHYTCPPI,658.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui09, dehulled, dried, high N fertilization), value 658.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010224:PHYTCPPI,"Rice, Japonica, Xiushui09, dehulled, dried, moderate N fertilization",PHYTCPPI,721.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui09, dehulled, dried, moderate N fertilization), value 721.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010225:PHYTCPPI,"Rice, Japonica, Xiushui09, dehulled, dried, moderate N fertilization",PHYTCPPI,691.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui09, dehulled, dried, moderate N fertilization), value 691.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010227:PHYTCPPI,"Rice, Japonica, Xiushui11, dehulled, dried, high N fertilization",PHYTCPPI,667.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui11, dehulled, dried, high N fertilization), value 667.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010228:PHYTCPPI,"Rice, Japonica, Xiushui11, dehulled, dried, high N fertilization",PHYTCPPI,640.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui11, dehulled, dried, high N fertilization), value 640.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010229:PHYTCPPI,"Rice, Japonica, Xiushui11, dehulled, dried, moderate N fertilization",PHYTCPPI,696.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui11, dehulled, dried, moderate N fertilization), value 696.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010230:PHYTCPPI,"Rice, Japonica, Xiushui11, dehulled, dried, moderate N fertilization",PHYTCPPI,621.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui11, dehulled, dried, moderate N fertilization), value 621.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010232:PHYTCPPI,"Rice, Japonica, Xiushui63, dehulled, dried, high N fertilization",PHYTCPPI,664.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Xiushui63, dehulled, dried, high N fertilization), value 664.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
