row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_relationship,match_confidence,rationale,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01010317:IP5,"Rice, raw",IP5,37.506,"Wild rice, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Wild rice, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Plain rice vs WILD rice -- wrong species, established pattern.",,Paul S,16/08/2026,
01010317:IP5_A_IP6,"Rice, raw",IP5_A_IP6,219.678,"Wild rice, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Wild rice, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Plain rice vs WILD rice -- wrong species, established pattern.",,Paul S,16/08/2026,
01010317:IP6,"Rice, raw",IP6,182.172,"Wild rice, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Wild rice, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Plain rice vs WILD rice -- wrong species, established pattern.",,Paul S,16/08/2026,
01010319:PHYTCPPI,"Rice, raw",PHYTCPPI,251.43,"Wild rice, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Wild rice, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Plain rice vs WILD rice -- wrong species, established pattern.",,Paul S,16/08/2026,
01010332:PHYTCPP,"Rice, Thailand, raw",PHYTCPP,55.0,"Wild rice, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Wild rice, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Same wrong-species mismatch.,,Paul S,16/08/2026,
01010340:PHYTCPP,"Rice, white, raw",PHYTCPP,139.36,"Wild rice, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Wild rice, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"White rice vs WILD rice -- wrong species (wild rice is not typically ""white"").",,Paul S,16/08/2026,
01020008:IP5_A_IP6,"Bread, maize-based, unleavened",IP5_A_IP6,394.0,"Restaurant, Latino, arepa (unleavened cornmeal bread)",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Restaurant, Latino, arepa (unleavened cornmeal bread)",,category_estimate,Paul S,16/08/2026,Arepa genuinely is an unleavened cornmeal bread -- good match.
01020023:PHYTCPPI,"Corn, 12, raw",PHYTCPPI,239.872,"Cornsalad, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Cornsalad, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Corn (maize) vs CORNSALAD (an unrelated leafy salad green) -- established false-cognate mismatch.,,Paul S,16/08/2026,
01020024:PHYTCPPI,"Corn, 14, raw",PHYTCPPI,261.423,"Cornsalad, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Cornsalad, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Corn (maize) vs CORNSALAD (an unrelated leafy salad green) -- established false-cognate mismatch.,,Paul S,16/08/2026,
01020026:PHYTCPPI,"Corn, 35, raw",PHYTCPPI,407.45599999999996,"Cornsalad, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Cornsalad, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Corn (maize) vs CORNSALAD (an unrelated leafy salad green) -- established false-cognate mismatch.,,Paul S,16/08/2026,
01020028:PHYTCPPI,"Corn, 37, raw",PHYTCPPI,323.745,"Cornsalad, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Cornsalad, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Corn (maize) vs CORNSALAD (an unrelated leafy salad green) -- established false-cognate mismatch.,,Paul S,16/08/2026,
01020029:PHYTCPPI,"Corn, 41, raw",PHYTCPPI,365.2710000000001,"Cornsalad, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Cornsalad, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Corn (maize) vs CORNSALAD (an unrelated leafy salad green) -- established false-cognate mismatch.,,Paul S,16/08/2026,
01020032:PHYTCPPI,"Corn, 91, raw",PHYTCPPI,387.09,"Cornsalad, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Cornsalad, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Corn (maize) vs CORNSALAD (an unrelated leafy salad green) -- established false-cognate mismatch.,,Paul S,16/08/2026,
01020044:PP-,"Corn, raw",PP-,200.0,"Squash, winter, acorn, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Squash, winter, acorn, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Corn vs ACORN squash -- wrong category, coincidental ""corn"" substring inside ""acorn"".",,Paul S,16/08/2026,
01020045:PHYTCPP,"Corn, raw",PHYTCPP,300.0,"Squash, winter, acorn, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Squash, winter, acorn, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Corn vs ACORN squash -- wrong category, coincidental ""corn"" substring inside ""acorn"".",,Paul S,16/08/2026,
01020048:PHYTCPPI,"Corn, Texas 17W, raw",PHYTCPPI,743.544,"Cornsalad, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Cornsalad, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Corn (maize) vs CORNSALAD (an unrelated leafy salad green) -- established false-cognate mismatch.,,Paul S,16/08/2026,
01020057:PHYTCPPD,"Maize bran, raw",PHYTCPPD,1089.0,"Oat bran, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Oat bran, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,Maize bran vs OAT bran -- wrong grain entirely.,,Paul S,16/08/2026,
01020073:PHYTCPPD,"Maize, Bc 183 (1985), full grain maturity, raw",PHYTCPPD,790.0,"Fonio, grain, dry, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Fonio, grain, dry, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Maize vs FONIO -- completely different grain species, established false mismatch.",,Paul S,16/08/2026,
01020080:PHYTCPPD,"Maize, Bc 183 (1986), full grain maturity, raw",PHYTCPPD,630.0,"Fonio, grain, dry, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Fonio, grain, dry, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Maize vs FONIO -- completely different grain species, established false mismatch.",,Paul S,16/08/2026,
01020109:PHYTCPPD,"Maize, Bc 488 (1986), full grain maturity, raw",PHYTCPPD,450.0,"Fonio, grain, dry, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Fonio, grain, dry, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Maize vs FONIO -- completely different grain species, established false mismatch.",,Paul S,16/08/2026,
01020112:PHYTCPPI,"Maize, boiled",PHYTCPPI,344.0,"Chicken, feet, boiled",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"Maize (a plant) vs CHICKEN FEET (an animal product) -- wrong category entirely, absurd mismatch.",,Paul S,16/08/2026,
01020112:PPI,"Maize, boiled",PPI,97.52,"Chicken, feet, boiled",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"Maize (a plant) vs CHICKEN FEET (an animal product) -- wrong category entirely, absurd mismatch.",,Paul S,16/08/2026,
01020118:PHYTC-,"Maize, grain, raw",PHYTC-,204.838,"Fonio, grain, dry, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Fonio, grain, dry, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Maize vs FONIO -- completely different grain species, established false mismatch.",,Paul S,16/08/2026,
01020119:PHYTCPP,"Maize, grain, raw",PHYTCPP,551.8620000000001,"Fonio, grain, dry, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Fonio, grain, dry, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Maize vs FONIO -- completely different grain species, established false mismatch.",,Paul S,16/08/2026,
01020124:PHYTCPPI,"Maize, steamed, dried",PHYTCPPI,320.0,"Figs, dried, stewed",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"Maize vs FIGS -- wrong category entirely, coincidental ""dried""/""steamed-stewed"" word overlap.",,Paul S,16/08/2026,
01020149:IP6,"Taco shells, maize-based, Old El Paso",IP6,1073.0,"Taco shells, baked",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Taco shells, baked",,category_estimate,Paul S,16/08/2026,"Reasonable match, brand not captured but product type correct."
01030001:PHYTCPPI,"Bread, brown wheat-based, fine",PHYTCPPI,518.817,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Reasonable category match.
01030005:PHYTCPPD,"Bread, flat, white wheat flour",PHYTCPPD,249.461,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Reasonable category match (flat-bread form variant).
01030011:PHYTCPPD,"Bread, wheat-based",PHYTCPPD,1539.0,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030012:PHYTCPPD,"Bread, wheat-based",PHYTCPPD,44.0,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030013:PPI,"Bread, wheat-based",PPI,152.88,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030014:PHYTCA,"Bread, wheat-based",PHYTCA,119.0,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030015:PHYTCA,"Bread, wheat-based",PHYTCA,87.801105,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030016:PHYTCA,"Bread, wheat-based",PHYTCA,49.25588,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030017:PHYTCA,"Bread, wheat-based",PHYTCA,58.855470000000004,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030018:PHYTCA,"Bread, wheat-based",PHYTCA,46.21275,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030019:PHYTCA,"Bread, wheat-based",PHYTCA,58.87245,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030020:PHYTCA,"Bread, wheat-based",PHYTCA,43.82894999999999,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030021:PHYTCA,"Bread, wheat-based",PHYTCA,119.28168000000001,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030023:PHYTCA,"Bread, wheat-based",PHYTCA,53.782785,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030024:PHYTCA,"Bread, wheat-based",PHYTCA,64.20653000000001,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030026:PHYTCA,"Bread, wheat-based",PHYTCA,51.156085000000004,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030027:PHYTCA,"Bread, wheat-based",PHYTCA,44.910855,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030028:PHYTCA,"Bread, wheat-based",PHYTCA,50.202749999999995,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030029:PHYTCA,"Bread, wheat-based",PHYTCA,35.440464999999996,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030030:PHYTC-,"Bread, wheat-based",PHYTC-,44.604175000000005,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030044:PHYTC-,"Bread, wheaten, cracked wheat",PHYTC-,348.0,"Bread, cracked-wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, cracked-wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030047:PHYTC-,"Bread, wheaten, raisin wheat",PHYTC-,347.7,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat",,category_estimate,Paul S,16/08/2026,"""Raisin wheat"" reads as a wheat cultivar/bread-type name here, not confirmed literal raisin content -- reasonable category estimate with that ambiguity noted."
01030051:PHYTCPPI,"Bread, white wheat-based",PHYTCPPI,105.672,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030052:IP5,"Bread, white wheat-based",IP5,44.0,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030052:IP5_A_IP6,"Bread, white wheat-based",IP5_A_IP6,69.0,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030052:IP6,"Bread, white wheat-based",IP6,25.0,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030052:PHYTCPP,"Bread, white wheat-based",PHYTCPP,93.0,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030054:IP6,"Bread, white wheat-based",IP6,78.21,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030055:PHYTCPP,"Bread, white wheat-based",PHYTCPP,20.0,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030056:IP6,"Bread, white wheat-based, Arnold’s",IP6,277.0,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, white wheat",,category_estimate,Paul S,16/08/2026,"Brand variant, category correct."
01030061:IP3,"Bread, whole and white wheat (50/50)",IP3,34.96348799999999,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,A 50/50 whole-wheat/white-wheat blend matched to pure white-wheat bread -- missing half the whole-wheat (bran-retaining) component.,,Paul S,16/08/2026,
01030061:IP4,"Bread, whole and white wheat (50/50)",IP4,27.715999999999998,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,A 50/50 whole-wheat/white-wheat blend matched to pure white-wheat bread -- missing half the whole-wheat (bran-retaining) component.,,Paul S,16/08/2026,
01030061:IP5,"Bread, whole and white wheat (50/50)",IP5,9.89248,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,A 50/50 whole-wheat/white-wheat blend matched to pure white-wheat bread -- missing half the whole-wheat (bran-retaining) component.,,Paul S,16/08/2026,
01030061:IP6,"Bread, whole and white wheat (50/50)",IP6,26.280671999999996,"Bread, white wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,A 50/50 whole-wheat/white-wheat blend matched to pure white-wheat bread -- missing half the whole-wheat (bran-retaining) component.,,Paul S,16/08/2026,
01030070:PHYTCPPI,"Bread, whole wheat-based, Hard red winter, leavened",PHYTCPPI,127.148,"Wheat, hard red winter",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"BREAD (a baked product) vs raw WHEAT GRAIN -- wrong product form, established pattern.",,Paul S,16/08/2026,
01030073:PHYTCPPD,"Bread, whole wheat-based, toasted, industrialized",PHYTCPPD,302.0,"Bread, wheat, toasted",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Bread, wheat, toasted",,category_estimate,Paul S,16/08/2026,Toasted matches toasted -- reasonable.
01030084:IP5,"Breakfast cereal, wheat rings, ""Weetos"", containing cocoa and sugar",IP5,81.2,Rice and Wheat cereal bar,sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"Cereal RINGS vs a cereal BAR -- different product form; ""Rice and Wheat"" implies a rice component not in source, and cocoa/sugar coating not captured.",,Paul S,16/08/2026,
01030084:IP6,"Breakfast cereal, wheat rings, ""Weetos"", containing cocoa and sugar",IP6,231.0,Rice and Wheat cereal bar,sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"Cereal RINGS vs a cereal BAR -- different product form; ""Rice and Wheat"" implies a rice component not in source, and cocoa/sugar coating not captured.",,Paul S,16/08/2026,
01030090:IP5,"Coffee bread, wheat-based",IP5,85.8,"Bread, wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"""Coffee bread"" is a distinct sweet bread type/product, not confirmed equivalent to a plain wheat bread entry.",,Paul S,16/08/2026,
01030100:PHYTCPPD,"Cracker, whole wheat-based",PHYTCPPD,588.0,"Crackers, whole-wheat",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,"Crackers, whole-wheat",,category_estimate,Paul S,16/08/2026,Clean match.
01030111:PHYTC-,Durum wheat semolina,PHYTC-,308.0,"DURUM WHEAT SEMOLINA PASTA MACARONI PRODUCT, SPAGHETTONI",branded_food,close_analogue,0.85,"name-matched at confidence 0.85, but preparation state/moisture basis alignment could not be confirmed automatically",reject,,Semolina (the flour/meal) vs an actual finished PASTA product made from it -- wrong product form.,,Paul S,16/08/2026,
01030117:PHYTCPP,"Noodle, wheat-based, uncooked",PHYTCPP,158.0,"Wheat, KAMUT khorasan, uncooked",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"A processed noodle vs raw KAMUT wheat grain -- wrong product form, established pattern.",,Paul S,16/08/2026,
01030123:IP4,"Pasta, commercial, uncooked",IP4,50.0,"Hummus, commercial",foundation_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,PASTA vs HUMMUS -- wrong category entirely.,,Paul S,16/08/2026,
01030123:IP5,"Pasta, commercial, uncooked",IP5,40.6,"Hummus, commercial",foundation_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,PASTA vs HUMMUS -- wrong category entirely.,,Paul S,16/08/2026,
01030123:IP6,"Pasta, commercial, uncooked",IP6,389.40000000000003,"Hummus, commercial",foundation_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,PASTA vs HUMMUS -- wrong category entirely.,,Paul S,16/08/2026,
01030124:IP5,"Pasta, commercial, uncooked",IP5,29.0,"Hummus, commercial",foundation_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,PASTA vs HUMMUS -- wrong category entirely.,,Paul S,16/08/2026,
01030124:IP6,"Pasta, commercial, uncooked",IP6,244.2,"Hummus, commercial",foundation_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,PASTA vs HUMMUS -- wrong category entirely.,,Paul S,16/08/2026,
01030125:IP5,"Pasta, dark, commercial, uncooked",IP5,81.2,"Hummus, commercial",foundation_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,Same wrong-category mismatch.,,Paul S,16/08/2026,
01030125:IP6,"Pasta, dark, commercial, uncooked",IP6,811.8000000000001,"Hummus, commercial",foundation_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,Same wrong-category mismatch.,,Paul S,16/08/2026,
