row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,special_case_tag,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes,cross_reference
02010001:PHYTCPP,Potato starch,PHYTCPP,0,Gracekennedy Foods (USA) LLC POTATO STARCH FLOUR,branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,ZERO_VALUE_NEEDS_QUALIFIER,approve,Gracekennedy Foods (USA) LLC POTATO STARCH FLOUR,,category_estimate,Paul S,06/08/2026,DRAFT -- confirm before sign-off. Good match. ZERO-VALUE ASSESSMENT: Plausible measured-zero -- same starch-extraction reasoning as corn starch above.,
02010037:PHYTCPP,Sweet potato starch,PHYTCPP,0,SWEET POTATO SOUP,branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,ZERO_VALUE_NEEDS_QUALIFIER,reject,,"Starch (a refined, extracted product) vs a prepared SOUP -- wrong product form entirely, not comparable.",,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: N/A for this candidate given the mismatch, but the true sweet-potato-starch value is plausibly near-zero for the same starch-extraction reason as other starches here.",
03010045:PHYTCPP,"Bean starch, vermicelli",PHYTCPP,0,LUXURY VERMICELLI,branded_food,fuzzy,"top two name-search candidates ('LUXURY VERMICELLI', 'ERAWAN RICE VERMICELLI') are too textually similar to the source description (0.60 vs 0.76 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,approve,LUXURY VERMICELLI,,category_estimate,Paul S,06/08/2026,"DRAFT -- confirm before sign-off. Bean-starch vermicelli reasonably matched to a generic vermicelli product, though most commercial vermicelli is rice-starch rather than bean-starch -- category estimate with that caveat. ZERO-VALUE ASSESSMENT: Plausible measured-zero -- starch-extraction reasoning again; vermicelli is a refined starch product.",
03010200:IP3,"Common bean, BRS Radiante, seed, raw with cooking water",IP3,0,"STATER BROS. BEAN WITH BACON CONDENSED SOUP, BEAN WITH BACON",branded_food,fuzzy,"top two name-search candidates ('STATER BROS. BEAN WITH BACON CONDENSED SOUP, BEAN WITH BACON', 'CHIN CHIN CHIN CHIN, RED BEAN SOUP WITH LOTUS SEED') are too textually similar to the source description (0.33 vs 0.34 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,reject,,Raw bean + cooking water (a research prep) matched to a canned bean-and-BACON SOUP product -- wrong product form and composition (bacon/meat not in source) entirely.,,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: Zero for this specific inositol-phosphate fraction (IP3) in the 'raw with cooking water' state is plausible -- IP3 is a partial hydrolysis intermediate that may genuinely be undetectable at this specific prep stage, but candidate mismatch makes this moot regardless.",
03010200:IP4,"Common bean, BRS Radiante, seed, raw with cooking water",IP4,0,"STATER BROS. BEAN WITH BACON CONDENSED SOUP, BEAN WITH BACON",branded_food,fuzzy,"top two name-search candidates ('STATER BROS. BEAN WITH BACON CONDENSED SOUP, BEAN WITH BACON', 'CHIN CHIN CHIN CHIN, RED BEAN SOUP WITH LOTUS SEED') are too textually similar to the source description (0.33 vs 0.34 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,reject,,Same wrong-product mismatch as the IP3 row above (bean+water vs bean-and-bacon soup).,,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: Same as IP3 -- plausible for this fraction/prep stage, but candidate mismatch makes this moot.",
03010209:IP3,"Common bean, Diamante Negro, seed, raw",IP3,0,"Guavas, common, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Guavas, common, raw', 'Beans, navy, mature seeds, raw') are too textually similar to the source description (0.39 vs 0.62 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,reject,,"Candidate (""Guavas, common, raw"") is a different species/food entirely -- shares only the coincidental word ""common"" with ""Common bean"". Same pattern as several rows already rejected elsewhere in this review.",,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: Zero for the IP3 fraction specifically is plausible (partial-hydrolysis intermediate, can be genuinely low/undetectable), but moot given the wrong candidate.",
03010230:IP3,"Common bean, Ouro branco, seed, raw",IP3,0,"Oat bran, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Oat bran, raw', 'Guavas, common, raw') are too textually similar to the source description (0.50 vs 0.41 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,reject,,"Candidate (""Oat bran, raw"") shares no relationship with the source (""Common bean"") -- wrong category entirely, appears to be a spurious low-confidence fuzzy match with no evident textual justification.",,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: Plausible for the IP3 fraction specifically, but moot given the wrong candidate.",
03010234:IP3,"Common bean, Perola, seed, raw",IP3,0,"Guavas, common, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Guavas, common, raw', 'Beans, pink, mature seeds, raw') are too textually similar to the source description (0.45 vs 0.60 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,reject,,"Same ""Guavas, common, raw"" coincidental-word mismatch as row 03010209 above.",,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: Plausible for the IP3 fraction, moot given the wrong candidate.",
03010234:IP4,"Common bean, Perola, seed, raw",IP4,0,"Guavas, common, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Guavas, common, raw', 'Beans, pink, mature seeds, raw') are too textually similar to the source description (0.45 vs 0.60 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,reject,,"Same mismatch, IP4 fraction of the same food.",,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: Plausible for the IP4 fraction, moot given the wrong candidate.",
03010246:IP3,"Common bean, Talisṃ, seed, raw",IP3,0,"Guavas, common, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Guavas, common, raw', 'Winged beans, mature seeds, raw') are too textually similar to the source description (0.44 vs 0.61 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,reject,,"Same ""Guavas, common, raw"" coincidental-word mismatch as the other Common bean rows above.",,Paul S,06/08/2026,"DRAFT -- confirm before sign-off.  ZERO-VALUE ASSESSMENT: Plausible for the IP3 fraction, moot given the wrong candidate.",
