row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_confidence,rationale,auto_flag,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01010020:PHYTCPPD,"Rice bran, BRS Sertaneja, 9min microwaved",PHYTCPPD,4772.892,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') are too textually similar to the source description (selected candidate similarity: 0.38; runner-up similarity: 0.40; best candidate similarity: 0.40, held by 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') — note: the selected candidate is NOT the highest-similarity one; 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ' scored higher to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010020:PPD,"Rice bran, BRS Sertaneja, 9min microwaved",PPD,1348.4389999999999,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') are too textually similar to the source description (selected candidate similarity: 0.38; runner-up similarity: 0.40; best candidate similarity: 0.40, held by 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') — note: the selected candidate is NOT the highest-similarity one; 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ' scored higher to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010021:PHYTCPPD,"Rice bran, BRS Sertaneja, raw",PHYTCPPD,4528.335,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.40; runner-up similarity: 0.58; best candidate similarity: 0.58, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010021:PPD,"Rice bran, BRS Sertaneja, raw",PPD,1282.281,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.40; runner-up similarity: 0.58; best candidate similarity: 0.58, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010032:PHYTCPP,"Rice bran, fermented for 120h",PHYTCPP,255.6,BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC,branded_food,0.4,"top two name-search candidates ('BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC' [selected], 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') are too textually similar to the source description (selected candidate similarity: 0.43; runner-up similarity: 0.43; best candidate similarity: 0.43, held by 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') — note: the selected candidate is NOT the highest-similarity one; 'BIO-K +PLUS FERMENTED RICE PROBIOTIC' scored higher to place confidently",,reject,,Raw fermented rice BRAN (a milling byproduct) vs a commercial probiotic BEVERAGE product -- wrong product form entirely.,,Paul S,16/08/2026,
01010033:PHYTCPP,"Rice bran, fermented for 24h",PHYTCPP,161.1,BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC,branded_food,0.4,"top two name-search candidates ('BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC' [selected], 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') are too textually similar to the source description (selected candidate similarity: 0.43; runner-up similarity: 0.44; best candidate similarity: 0.44, held by 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') — note: the selected candidate is NOT the highest-similarity one; 'BIO-K +PLUS FERMENTED RICE PROBIOTIC' scored higher to place confidently",,reject,,Raw fermented rice BRAN (a milling byproduct) vs a commercial probiotic BEVERAGE product -- wrong product form entirely.,,Paul S,16/08/2026,
01010034:PHYTCPP,"Rice bran, fermented for 48h",PHYTCPP,231.6,BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC,branded_food,0.4,"top two name-search candidates ('BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC' [selected], 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') are too textually similar to the source description (selected candidate similarity: 0.43; runner-up similarity: 0.44; best candidate similarity: 0.44, held by 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') — note: the selected candidate is NOT the highest-similarity one; 'BIO-K +PLUS FERMENTED RICE PROBIOTIC' scored higher to place confidently",,reject,,Raw fermented rice BRAN (a milling byproduct) vs a commercial probiotic BEVERAGE product -- wrong product form entirely.,,Paul S,16/08/2026,
01010035:PHYTCPP,"Rice bran, fermented for 72h",PHYTCPP,230.0,BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC,branded_food,0.4,"top two name-search candidates ('BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC' [selected], 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') are too textually similar to the source description (selected candidate similarity: 0.43; runner-up similarity: 0.44; best candidate similarity: 0.44, held by 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') — note: the selected candidate is NOT the highest-similarity one; 'BIO-K +PLUS FERMENTED RICE PROBIOTIC' scored higher to place confidently",,reject,,Raw fermented rice BRAN (a milling byproduct) vs a commercial probiotic BEVERAGE product -- wrong product form entirely.,,Paul S,16/08/2026,
01010036:PHYTCPP,"Rice bran, fermented for 96h",PHYTCPP,238.4,BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC,branded_food,0.4,"top two name-search candidates ('BIO-K+ PROBIOTIC FERMENTED RICE PROBIOTIC' [selected], 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') are too textually similar to the source description (selected candidate similarity: 0.43; runner-up similarity: 0.44; best candidate similarity: 0.44, held by 'BIO-K +PLUS FERMENTED RICE PROBIOTIC') — note: the selected candidate is NOT the highest-similarity one; 'BIO-K +PLUS FERMENTED RICE PROBIOTIC' scored higher to place confidently",,reject,,Raw fermented rice BRAN (a milling byproduct) vs a commercial probiotic BEVERAGE product -- wrong product form entirely.,,Paul S,16/08/2026,
01010037:PP-,"Rice bran, IR 32, polishings (inner bran), raw",PP-,2131.288343558282,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.29; runner-up similarity: 0.42; best candidate similarity: 0.42, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010038:PP-,"Rice bran, IR 32, raw",PP-,2983.8036809815953,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.49; runner-up similarity: 0.65; best candidate similarity: 0.65, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010039:PP-,"Rice bran, IR 480-5-9, polishings (inner bran), raw",PP-,5612.39263803681,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.27; runner-up similarity: 0.39; best candidate similarity: 0.39, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010040:PP-,"Rice bran, IR 480-5-9, raw",PP-,8098.895705521473,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.43; runner-up similarity: 0.57; best candidate similarity: 0.57, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010041:PHYTCPPD,"Rice bran, IRGA 417, 12min microwaved",PHYTCPPD,5772.984,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Hy-Vee, Inc. MICROWAVEABLE MEXICAN RICE') are too textually similar to the source description (selected candidate similarity: 0.41; runner-up similarity: 0.39; best candidate similarity: 0.41, held by 'Hy-Vee, Inc. MICROWAVEABLE BROWN RICE') to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010041:PPD,"Rice bran, IRGA 417, 12min microwaved",PPD,1619.97,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Hy-Vee, Inc. MICROWAVEABLE MEXICAN RICE') are too textually similar to the source description (selected candidate similarity: 0.41; runner-up similarity: 0.39; best candidate similarity: 0.41, held by 'Hy-Vee, Inc. MICROWAVEABLE BROWN RICE') to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010042:PHYTCPPD,"Rice bran, IRGA 417, 15min microwaved",PHYTCPPD,6234.911,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Hy-Vee, Inc. MICROWAVEABLE MEXICAN RICE') are too textually similar to the source description (selected candidate similarity: 0.41; runner-up similarity: 0.39; best candidate similarity: 0.41, held by 'Hy-Vee, Inc. MICROWAVEABLE BROWN RICE') to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010042:PPD,"Rice bran, IRGA 417, 15min microwaved",PPD,1758.8180000000002,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Hy-Vee, Inc. MICROWAVEABLE MEXICAN RICE') are too textually similar to the source description (selected candidate similarity: 0.41; runner-up similarity: 0.39; best candidate similarity: 0.41, held by 'Hy-Vee, Inc. MICROWAVEABLE BROWN RICE') to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010043:PHYTCPPD,"Rice bran, IRGA 417, 9min microwaved",PHYTCPPD,4922.235,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Hy-Vee, Inc. MICROWAVEABLE MEXICAN RICE') are too textually similar to the source description (selected candidate similarity: 0.41; runner-up similarity: 0.40; best candidate similarity: 0.41, held by 'Hy-Vee, Inc. MICROWAVEABLE BROWN RICE') to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010043:PPD,"Rice bran, IRGA 417, 9min microwaved",PPD,1384.0739999999998,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Hy-Vee, Inc. MICROWAVEABLE MEXICAN RICE') are too textually similar to the source description (selected candidate similarity: 0.41; runner-up similarity: 0.40; best candidate similarity: 0.41, held by 'Hy-Vee, Inc. MICROWAVEABLE BROWN RICE') to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010044:PHYTCPPD,"Rice bran, IRGA 417, raw",PHYTCPPD,7501.408,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.45; runner-up similarity: 0.60; best candidate similarity: 0.60, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010044:PPD,"Rice bran, IRGA 417, raw",PPD,2105.348,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Rice bran, crude') are too textually similar to the source description (selected candidate similarity: 0.45; runner-up similarity: 0.60; best candidate similarity: 0.60, held by 'Rice bran, crude') — note: the selected candidate is NOT the highest-similarity one; 'Rice bran, crude' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010045:PHYTCPP,"Rice bran, raw",PHYTCPP,468.9,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Oat bran, raw') are too textually similar to the source description (selected candidate similarity: 0.60; runner-up similarity: 0.74; best candidate similarity: 0.74, held by 'Oat bran, raw') — note: the selected candidate is NOT the highest-similarity one; 'Oat bran, raw' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010046:PHYTCPPD,"Rice bran, raw",PHYTCPPD,4282.0,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Oat bran, raw') are too textually similar to the source description (selected candidate similarity: 0.60; runner-up similarity: 0.74; best candidate similarity: 0.74, held by 'Oat bran, raw') — note: the selected candidate is NOT the highest-similarity one; 'Oat bran, raw' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010047:PHYTCPPD,"Rice bran, raw",PHYTCPPD,4282.0,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Oat bran, raw') are too textually similar to the source description (selected candidate similarity: 0.60; runner-up similarity: 0.74; best candidate similarity: 0.74, held by 'Oat bran, raw') — note: the selected candidate is NOT the highest-similarity one; 'Oat bran, raw' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010048:PHYTCPP,"Rice bran, raw",PHYTCPP,882.0,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Oat bran, raw') are too textually similar to the source description (selected candidate similarity: 0.60; runner-up similarity: 0.74; best candidate similarity: 0.74, held by 'Oat bran, raw') — note: the selected candidate is NOT the highest-similarity one; 'Oat bran, raw' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010049:PHYTCPPD,"Rice bran, raw",PHYTCPPD,655.0,"Bread, rice bran",sr_legacy_food,0.65,"top two name-search candidates ('Bread, rice bran' [selected], 'Oat bran, raw') are too textually similar to the source description (selected candidate similarity: 0.60; runner-up similarity: 0.74; best candidate similarity: 0.74, held by 'Oat bran, raw') — note: the selected candidate is NOT the highest-similarity one; 'Oat bran, raw' scored higher to place confidently",,reject,,Raw rice bran (an unprocessed milling byproduct/ingredient) vs a BAKED BREAD product made using rice bran -- wrong product form entirely.,,Paul S,16/08/2026,
01010051:PHYTCPPD,"Rice bran, treated with acetic acid (18%) solution",PHYTCPPD,2291.0,"Turkey, whole, meat only, with added solution, roasted",sr_legacy_food,0.65,"top two name-search candidates ('Turkey, whole, meat only, with added solution, roasted' [selected], 'Turkey, breast, from whole bird, meat only, with added solution, roasted') are too textually similar to the source description (selected candidate similarity: 0.48; runner-up similarity: 0.46; best candidate similarity: 0.48, held by 'Turkey, whole, meat only, with added solution, roasted') to place confidently",PLANT_TO_ANIMAL_SUSPECT,reject,,"candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score.",,Paul S,16/08/2026,"auto_flag=PLANT_TO_ANIMAL_SUSPECT. candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score."
01010052:PHYTCPPD,"Rice bran, treated with acetic acid (20%) solution",PHYTCPPD,2015.0,"Turkey, whole, meat only, with added solution, roasted",sr_legacy_food,0.65,"top two name-search candidates ('Turkey, whole, meat only, with added solution, roasted' [selected], 'Turkey, breast, from whole bird, meat only, with added solution, roasted') are too textually similar to the source description (selected candidate similarity: 0.48; runner-up similarity: 0.46; best candidate similarity: 0.48, held by 'Turkey, whole, meat only, with added solution, roasted') to place confidently",PLANT_TO_ANIMAL_SUSPECT,reject,,"candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score.",,Paul S,16/08/2026,"auto_flag=PLANT_TO_ANIMAL_SUSPECT. candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score."
01010053:PHYTCPPD,"Rice bran, treated with acetic acid (22%) solution",PHYTCPPD,1728.0,"Turkey, whole, meat only, with added solution, roasted",sr_legacy_food,0.65,"top two name-search candidates ('Turkey, whole, meat only, with added solution, roasted' [selected], 'Turkey, breast, from whole bird, meat only, with added solution, roasted') are too textually similar to the source description (selected candidate similarity: 0.48; runner-up similarity: 0.46; best candidate similarity: 0.48, held by 'Turkey, whole, meat only, with added solution, roasted') to place confidently",PLANT_TO_ANIMAL_SUSPECT,reject,,"candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score.",,Paul S,16/08/2026,"auto_flag=PLANT_TO_ANIMAL_SUSPECT. candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score."
01010054:PHYTCPPD,"Rice bran, treated with Ca(OH)2 (18%) solution",PHYTCPPD,1910.0,"Turkey, whole, meat only, with added solution, roasted",sr_legacy_food,0.65,"top two name-search candidates ('Turkey, whole, meat only, with added solution, roasted' [selected], 'Turkey, retail parts, breast, meat only, with added solution, cooked, roasted') are too textually similar to the source description (selected candidate similarity: 0.46; runner-up similarity: 0.44; best candidate similarity: 0.46, held by 'Turkey, whole, meat only, with added solution, roasted') to place confidently",PLANT_TO_ANIMAL_SUSPECT,reject,,"candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score.",,Paul S,16/08/2026,"auto_flag=PLANT_TO_ANIMAL_SUSPECT. candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score."
01010055:PHYTCPPD,"Rice bran, treated with Ca(OH)2 (20%) solution",PHYTCPPD,1908.0,"Turkey, whole, meat only, with added solution, roasted",sr_legacy_food,0.65,"top two name-search candidates ('Turkey, whole, meat only, with added solution, roasted' [selected], 'Bread, rice bran, toasted') are too textually similar to the source description (selected candidate similarity: 0.46; runner-up similarity: 0.45; best candidate similarity: 0.46, held by 'Turkey, whole, meat only, with added solution, roasted') to place confidently",PLANT_TO_ANIMAL_SUSPECT,reject,,"candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score.",,Paul S,16/08/2026,"auto_flag=PLANT_TO_ANIMAL_SUSPECT. candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score."
