row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_relationship,match_confidence,rationale,sample_stratum,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01020142:PHYT-,"Maize, yellow, seed, milled, raw",PHYT-,106.0,"Beans, yellow, mature seeds, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Maize (a grain) vs BEANS (a legume) -- wrong category entirely, coincidental ""yellow"" color word.",,Paul S,16/08/2026,
01050130:PHYTCPPI,"Pearl millet flour, Ashana, dehulled seed, irradiated, 30 days storage",PHYTCPPI,286.78906,Millet flour,sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,Millet flour,,category_estimate,Paul S,16/08/2026,"Cultivar/treatment-specific source, reasonable generic millet-flour category estimate -- treatment specificity not preserved, standard caveat throughout this review."
01050131:PHYTCPPI,"Pearl millet flour, Ashana, dehulled seed, irradiated, 60 days storage",PHYTCPPI,287.346905,Millet flour,sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,Millet flour,,category_estimate,Paul S,16/08/2026,Same treatment-collapse caveat as above.
01050154:PHYTCPPI,"Pearl millet flour, Dembi, dehulled seed, irradiated, 60 days storage",PHYTCPPI,270.214445,Millet flour,sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,Millet flour,,category_estimate,Paul S,16/08/2026,Same treatment-collapse caveat as above.
01050158:PHYTCPPI,"Pearl millet flour, Dembi, dehulled seed,irradiated, 30 days storage",PHYTCPPI,270.14826,Millet flour,sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,Millet flour,,category_estimate,Paul S,16/08/2026,Same treatment-collapse caveat as above.
01050209:PHYTCPP,"Porridge, millet, fermented",PHYTCPP,14.54,"Millet, puffed",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Fermented (wet, processed) porridge vs PUFFED millet (a dry, extruded snack) -- wrong prep/product form; fermentation and puffing both materially change phytate.",,Paul S,16/08/2026,
01060046:IP3,"Barley, Sunnita, raw, 25 kGy irradiated",IP3,19.08522,"Barley, pearled, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Pearled barley has the bran mostly removed; source only says ""raw"" without confirming pearled/milled state -- an unconfirmed, phytate-relevant milling-degree assumption, same concern flagged for review_3's wheat-extraction-rate rows.",,Paul S,16/08/2026,
01060046:IP4,"Barley, Sunnita, raw, 25 kGy irradiated",IP4,63.7065,"Barley, pearled, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Pearled barley has the bran mostly removed; source only says ""raw"" without confirming pearled/milled state -- an unconfirmed, phytate-relevant milling-degree assumption, same concern flagged for review_3's wheat-extraction-rate rows.",,Paul S,16/08/2026,
01060046:IP5,"Barley, Sunnita, raw, 25 kGy irradiated",IP5,49.0941,"Barley, pearled, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Pearled barley has the bran mostly removed; source only says ""raw"" without confirming pearled/milled state -- an unconfirmed, phytate-relevant milling-degree assumption, same concern flagged for review_3's wheat-extraction-rate rows.",,Paul S,16/08/2026,
01060046:IP6,"Barley, Sunnita, raw, 25 kGy irradiated",IP6,543.9554999999999,"Barley, pearled, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Pearled barley has the bran mostly removed; source only says ""raw"" without confirming pearled/milled state -- an unconfirmed, phytate-relevant milling-degree assumption, same concern flagged for review_3's wheat-extraction-rate rows.",,Paul S,16/08/2026,
02020023:IP5,"Cassava, root, dough, fermented",IP5,31.0,"Cassava, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Fermented DOUGH (wet, processed) vs RAW cassava root (unprocessed) -- fermentation significantly changes phytate, wrong prep state entirely.",,Paul S,16/08/2026,
02020023:IP5_A_IP6,"Cassava, root, dough, fermented",IP5_A_IP6,53.0,"Cassava, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Fermented DOUGH (wet, processed) vs RAW cassava root (unprocessed) -- fermentation significantly changes phytate, wrong prep state entirely.",,Paul S,16/08/2026,
02020023:IP6,"Cassava, root, dough, fermented",IP6,22.0,"Cassava, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Fermented DOUGH (wet, processed) vs RAW cassava root (unprocessed) -- fermentation significantly changes phytate, wrong prep state entirely.",,Paul S,16/08/2026,
02020023:PHYTCPP,"Cassava, root, dough, fermented",PHYTCPP,48.0,"Cassava, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Fermented DOUGH (wet, processed) vs RAW cassava root (unprocessed) -- fermentation significantly changes phytate, wrong prep state entirely.",,Paul S,16/08/2026,
03010020:PHYTC-,"African oil bean, seed, roasted",PHYTC-,296.604,"Seeds, breadfruit seeds, roasted",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"African oil bean (Pentaclethra macrophylla) vs breadfruit seeds -- different species, coincidental ""roasted""/generic ""seeds"" overlap. Candidate recurs for other unrelated species (Achi, Ofo) later in this sample -- a systemic mismatch, not a one-off.",,Paul S,16/08/2026,
03010135:PHYTCPPI,"Chickpea flour, soaked and boiled seed, dried",PHYTCPPI,689.941584,Chickpea flour (besan),sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,Chickpea flour (besan),,category_estimate,Paul S,16/08/2026,"Soaking/boiling/drying treatment not captured by the generic besan-flour candidate, but species and product form otherwise match -- category estimate with that caveat."
03010174:IP3,"Chickpea, var. Castellano, seed, water-soaked, drained, cooked, dried",IP3,17.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Chickpea vs CHERRIES -- wrong category entirely, same coincidence-trap pattern established repeatedly elsewhere in this review.",,Paul S,16/08/2026,
03010174:IP4,"Chickpea, var. Castellano, seed, water-soaked, drained, cooked, dried",IP4,40.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Chickpea vs CHERRIES -- wrong category entirely, same coincidence-trap pattern established repeatedly elsewhere in this review.",,Paul S,16/08/2026,
03010174:IP5,"Chickpea, var. Castellano, seed, water-soaked, drained, cooked, dried",IP5,217.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Chickpea vs CHERRIES -- wrong category entirely, same coincidence-trap pattern established repeatedly elsewhere in this review.",,Paul S,16/08/2026,
03010174:IP6,"Chickpea, var. Castellano, seed, water-soaked, drained, cooked, dried",IP6,790.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Chickpea vs CHERRIES -- wrong category entirely, same coincidence-trap pattern established repeatedly elsewhere in this review.",,Paul S,16/08/2026,
03010271:PHYTCPPI,"Cowpea flour, dehulled, water-soaked, dried",PHYTCPPI,630.964,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Same cherries mismatch pattern, this time for cowpea flour.",,Paul S,16/08/2026,
03010308:PPI,"Cowpea, CL367, 16h germinated, raw",PPI,83.03569999999999,"Cowpeas, leafy tips, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Mature cowpea SEEDS (a germination-time-course study) matched to LEAFY TIPS -- wrong plant part.,,Paul S,16/08/2026,
03010309:PPI,"Cowpea, CL367, 20h germinated, raw",PPI,76.734,"Cowpeas, leafy tips, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same wrong-plant-part mismatch as the other CL367 germination-hour rows.,,Paul S,16/08/2026,
03010310:PPI,"Cowpea, CL367, 24h germinated, raw",PPI,70.8407,"Cowpeas, leafy tips, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same wrong-plant-part mismatch.,,Paul S,16/08/2026,
03010311:PPI,"Cowpea, CL367, germinated, raw",PPI,76.82555,"Cowpeas, leafy tips, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same wrong-plant-part mismatch.,,Paul S,16/08/2026,
03010413:PHYTCPPI,"Faba bean, Qidou 2, steeped, germinated for 48h, raw",PHYTCPPI,352.92010000000005,"Beef, chuck for stew, separable lean and fat, all grades, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Faba bean (a plant) matched to BEEF (an animal product) -- wrong category entirely, no evident textual justification.",,Paul S,16/08/2026,
03010415:PHYTCPPI,"Faba bean, Qidou 2, steeped, germinated for 96h, raw",PHYTCPPI,175.0329,"Beef, chuck for stew, separable lean and fat, all grades, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same absurd plant-to-beef mismatch as the 48h row.,,Paul S,16/08/2026,
03010431:PHYTCPPI,"Faba bean, water-soaked, germinated for 120h, raw",PHYTCPPI,134.35660000000001,"Winged bean tuber, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Faba bean (Vicia faba, seeds) vs winged bean TUBER (Psophocarpus, a root) -- wrong species and wrong plant part.",,Paul S,16/08/2026,
03010432:PHYTCPPI,"Faba bean, water-soaked, germinated for 24h, raw",PHYTCPPI,408.1,"Winged bean tuber, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same species/plant-part mismatch as the other germination-hour rows.,,Paul S,16/08/2026,
03010433:PHYTCPPI,"Faba bean, water-soaked, germinated for 48h, raw",PHYTCPPI,352.92009999999993,"Winged bean tuber, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same mismatch.,,Paul S,16/08/2026,
03010434:PHYTCPPI,"Faba bean, water-soaked, germinated for 72h, raw",PHYTCPPI,237.95799999999997,"Winged bean tuber, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same mismatch.,,Paul S,16/08/2026,
03010435:PHYTCPPI,"Faba bean, water-soaked, germinated for 96h, raw",PHYTCPPI,175.0329,"Winged bean tuber, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same mismatch.,,Paul S,16/08/2026,
03010472:PHYTCPPD,"Lentil, raw, 10kGy irradiated",PHYTCPPD,696.9368,"Lentils, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,"Lentils, raw",,category_estimate,Paul S,16/08/2026,"Irradiation treatment not captured by the generic candidate, but species and category are correct -- category estimate with that caveat."
03010473:PHYTCPPD,"Lentil, raw, 5kGy irradiated",PHYTCPPD,879.9616000000001,"Lentils, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,"Lentils, raw",,category_estimate,Paul S,16/08/2026,Same irradiation-treatment caveat.
03010474:PHYTCPPD,"Lentil, raw, 7.5kGy irradiated",PHYTCPPD,775.3759999999999,"Lentils, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,"Lentils, raw",,category_estimate,Paul S,16/08/2026,Same irradiation-treatment caveat.
03010487:IP3,"Lentil, Pardina, seed, water-soaked, drained, dried",IP3,45.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Lentil vs CHERRIES -- same coincidence-trap pattern as the chickpea rows above.,,Paul S,16/08/2026,
03010487:IP4,"Lentil, Pardina, seed, water-soaked, drained, dried",IP4,72.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Lentil vs CHERRIES -- same coincidence-trap pattern as the chickpea rows above.,,Paul S,16/08/2026,
03010487:IP5,"Lentil, Pardina, seed, water-soaked, drained, dried",IP5,64.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Lentil vs CHERRIES -- same coincidence-trap pattern as the chickpea rows above.,,Paul S,16/08/2026,
03010487:IP6,"Lentil, Pardina, seed, water-soaked, drained, dried",IP6,241.0,"Cherries, sour, canned, water pack, drained",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Lentil vs CHERRIES -- same coincidence-trap pattern as the chickpea rows above.,,Paul S,16/08/2026,
03010495:PHYTCPP,"Lentil, seed, water-soaked for 12 h, autoclaved, dried",PHYTCPP,2194.7999999999997,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Lentil vs WATERMELON SEEDS -- wrong species entirely, coincidental ""dried""/generic ""seeds"" overlap. This candidate recurs for many unrelated seed-bearing species later in this sample (Sesbania, soybean, roselle) -- a systemic mismatch.",,Paul S,16/08/2026,
03010544:PHYTCPPI,"Milletia, seed, germinated, raw",PHYTCPPI,1.8083,"Millet, raw",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"""Milletia"" is a genus of legume trees, unrelated to millet grain (Poaceae) despite the similar spelling -- a false-cognate mismatch.",,Paul S,16/08/2026,
03010577:PPI,"Mung bean, PAU911, germinated, microwaved",PPI,42.4982,"Beans, snap, green, microwaved",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Mung bean (Vigna radiata) vs SNAP beans (Phaseolus vulgaris) -- different species despite both being ""beans"" and both microwaved.",,Paul S,16/08/2026,
03010592:PHYTCPPD,"Pea, 10kGy irradiated, dried",PHYTCPPD,650.7864000000001,"Pepeao, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Pea vs a wood-ear mushroom -- established pea/Pepeao coincidence-trap pattern from earlier in this review.,,Paul S,16/08/2026,
03010593:PHYTCPPD,"Pea, 5kGy irradiated, dried",PHYTCPPD,716.1264000000001,"Pepeao, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same pea/mushroom mismatch.,,Paul S,16/08/2026,
03010594:PHYTCPPD,"Pea, 7.5kGy irradiated, dried",PHYTCPPD,696.0888,"Pepeao, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same mismatch.,,Paul S,16/08/2026,
03010667:PHYTCPPD,"Sesbania, water-soaked, 3kGy irradiated, dried",PHYTCPPD,1869.5009999999997,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Sesbania (a legume tree) vs WATERMELON SEEDS -- wrong species; this candidate recurs across many unrelated seed-bearing plants in this sample, confirming a systemic garbage-bucket-style mismatch, not a one-off.",,Paul S,16/08/2026,
03010668:PHYTCPPD,"Sesbania, water-soaked, 3kGy irradiated, dried",PHYTCPPD,1310.595,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Sesbania (a legume tree) vs WATERMELON SEEDS -- wrong species; this candidate recurs across many unrelated seed-bearing plants in this sample, confirming a systemic garbage-bucket-style mismatch, not a one-off.",,Paul S,16/08/2026,
03010669:PHYTCPPD,"Sesbania, water-soaked, 3kGy irradiated, dried",PHYTCPPD,1770.703,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Sesbania (a legume tree) vs WATERMELON SEEDS -- wrong species; this candidate recurs across many unrelated seed-bearing plants in this sample, confirming a systemic garbage-bucket-style mismatch, not a one-off.",,Paul S,16/08/2026,
03010670:PHYTCPPD,"Sesbania, water-soaked, 4kGy irradiated, dried",PHYTCPPD,1906.295,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic watermelon-seed-kernels mismatch.,,Paul S,16/08/2026,
03010671:PHYTCPPD,"Sesbania, water-soaked, 4kGy irradiated, dried",PHYTCPPD,1547.865,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic watermelon-seed-kernels mismatch.,,Paul S,16/08/2026,
03010672:PHYTCPPD,"Sesbania, water-soaked, 4kGy irradiated, dried",PHYTCPPD,1762.101,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic watermelon-seed-kernels mismatch.,,Paul S,16/08/2026,
03010673:PHYTCPPD,"Sesbania, water-soaked, 6kGy irradiated, dried",PHYTCPPD,1832.2920000000001,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03010674:PHYTCPPD,"Sesbania, water-soaked, 6kGy irradiated, dried",PHYTCPPD,1609.92,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03010675:PHYTCPPD,"Sesbania, water-soaked, 6kGy irradiated, dried",PHYTCPPD,1995.427,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03010676:PHYTCPPD,"Sesbania, water-soaked, dried",PHYTCPPD,1921.156,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03010677:PHYTCPPD,"Sesbania, water-soaked, dried",PHYTCPPD,1289.781,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03010678:PHYTCPPD,"Sesbania, water-soaked, dried",PHYTCPPD,2037.63,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03020025:PHYT-,"Soybean flour, roasted",PHYT-,248.0,"Soy flour, full-fat, roasted",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,approve,"Soy flour, full-fat, roasted",,category_estimate,Paul S,16/08/2026,Excellent match.
03020075:IP3,"Soybean, water-soaked, 24h germinated, dried",IP3,0.9329999999999999,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Soybean vs WATERMELON SEEDS -- same systemic garbage-bucket mismatch as the Sesbania rows above.,,Paul S,16/08/2026,
03020075:IP4,"Soybean, water-soaked, 24h germinated, dried",IP4,18.66,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Soybean vs WATERMELON SEEDS -- same systemic garbage-bucket mismatch as the Sesbania rows above.,,Paul S,16/08/2026,
03020075:IP5,"Soybean, water-soaked, 24h germinated, dried",IP5,85.836,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Soybean vs WATERMELON SEEDS -- same systemic garbage-bucket mismatch as the Sesbania rows above.,,Paul S,16/08/2026,
03020075:IP6,"Soybean, water-soaked, 24h germinated, dried",IP6,347.07599999999996,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Soybean vs WATERMELON SEEDS -- same systemic garbage-bucket mismatch as the Sesbania rows above.,,Paul S,16/08/2026,
03020075:IPSUM,"Soybean, water-soaked, 24h germinated, dried",IPSUM,452.505,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Soybean vs WATERMELON SEEDS -- same systemic garbage-bucket mismatch as the Sesbania rows above.,,Paul S,16/08/2026,
03020076:IP4,"Soybean, water-soaked, 48h germinated, dried",IP4,17.632,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03020076:IP5,"Soybean, water-soaked, 48h germinated, dried",IP5,93.728,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03020076:IP6,"Soybean, water-soaked, 48h germinated, dried",IP6,335.936,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03020076:IPSUM,"Soybean, water-soaked, 48h germinated, dried",IPSUM,447.296,"Seeds, watermelon seed kernels, dried",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,Same systemic mismatch.,,Paul S,16/08/2026,
03020079:PHYTC-,"Soybean, ZC3-M, dried, 150Gy irradiated",PHYTC-,386.31999999999994,"Soybeans, mature seeds, dry roasted",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"""Dried"" (unroasted) vs ""DRY ROASTED"" -- roasting is a distinct heat treatment, established prep-state mismatch precedent.",,Paul S,16/08/2026,
03020080:PHYTC-,"Soybean, ZC3-M, dried, 150Gy irradiated",PHYTC-,509.52,"Soybeans, mature seeds, dry roasted",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"""Dried"" (unroasted) vs ""DRY ROASTED"" -- roasting is a distinct heat treatment, established prep-state mismatch precedent.",,Paul S,16/08/2026,
