row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,selected_score,unselected_alternative_score,score_gap,suggested_action,generic_candidates_found,generic_candidates_sample,all_candidates_for_genus_count,all_candidates_for_genus_sample,quick_hint,review_verdict,approved_fdc_food,match_scope,rejection_reason,review_notes
03010711:PHYTCPPD,"Velvet bean, White, dehulled, raw",PHYTCPPD,1031.5305,SKIP'S DIP WHITE BEAN DIP,branded_food,fuzzy,"top two name-search candidates (""SKIP'S DIP WHITE BEAN DIP"", 'Beans, white, mature seeds, raw') are too textually similar to the source description (0.31 vs 0.66 similarity) to place confidently",0.31,0.66,0.35,OPEN — needs review,0,,0,,,reject,,,Velvet bean (Mucuna) is a different genus from common beans; no FDC representation.,
01040030:PHYTCPP,"Sorghum flour, ground-dried",PHYTCPP,489.0,"Flour, sorghum",foundation_food,fuzzy,"top two name-search candidates ('Flour, sorghum', 'Sorghum flour, whole-grain') are too textually similar to the source description (0.34 vs 0.68 similarity) to place confidently",0.34,0.68,0.34,OPEN — needs review,4,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour (sr_legacy_food) | Sorghum flour, refined, unenriched (sr_legacy_food) | Sorghum flour, white, pearled, unenriched, dry, raw (foundation_food) | Sorghum flour, whole-grain (sr_legacy_food)",26,"Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Sorghum flour, whole-grain",category_estimate,,
01040030:IP5,"Sorghum flour, ground-dried",IP5,13.0,"Flour, sorghum",foundation_food,fuzzy,"top two name-search candidates ('Flour, sorghum', 'Sorghum flour, whole-grain') are too textually similar to the source description (0.34 vs 0.68 similarity) to place confidently",0.34,0.68,0.34,OPEN — needs review,4,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour (sr_legacy_food) | Sorghum flour, refined, unenriched (sr_legacy_food) | Sorghum flour, white, pearled, unenriched, dry, raw (foundation_food) | Sorghum flour, whole-grain (sr_legacy_food)",26,"Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Sorghum flour, whole-grain",category_estimate,,
01040030:IP6,"Sorghum flour, ground-dried",IP6,85.0,"Flour, sorghum",foundation_food,fuzzy,"top two name-search candidates ('Flour, sorghum', 'Sorghum flour, whole-grain') are too textually similar to the source description (0.34 vs 0.68 similarity) to place confidently",0.34,0.68,0.34,OPEN — needs review,4,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour (sr_legacy_food) | Sorghum flour, refined, unenriched (sr_legacy_food) | Sorghum flour, white, pearled, unenriched, dry, raw (foundation_food) | Sorghum flour, whole-grain (sr_legacy_food)",26,"Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Sorghum flour, whole-grain",category_estimate,,
01040030:IP5_A_IP6,"Sorghum flour, ground-dried",IP5_A_IP6,98.0,"Flour, sorghum",foundation_food,fuzzy,"top two name-search candidates ('Flour, sorghum', 'Sorghum flour, whole-grain') are too textually similar to the source description (0.34 vs 0.68 similarity) to place confidently",0.34,0.68,0.34,OPEN — needs review,4,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour (sr_legacy_food) | Sorghum flour, refined, unenriched (sr_legacy_food) | Sorghum flour, white, pearled, unenriched, dry, raw (foundation_food) | Sorghum flour, whole-grain (sr_legacy_food)",26,"Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. 'SWEET' WHITE SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR | Bob's Red Mill Natural Foods, Inc. STONE GROUND SORGHUM FLOUR",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Sorghum flour, whole-grain",category_estimate,,
02010044:PHYTCPP,"Sweet potato, brown skin, raw",PHYTCPP,54.02,"Brad's Raw Chips BRAD'S RAW CHIPS, RAW CHIPS, SWEET POTATO",branded_food,fuzzy,"top two name-search candidates (""Brad's Raw Chips BRAD'S RAW CHIPS, RAW CHIPS, SWEET POTATO"", 'Potatoes, raw, skin') are too textually similar to the source description (0.28 vs 0.62 similarity) to place confidently",0.28,0.62,0.34,OPEN — needs review,20,"Babyfood, corn and sweet potatoes, strained (sr_legacy_food) | Babyfood, dinner, sweet potatoes and chicken, strained (sr_legacy_food) | Babyfood, fruit and vegetable, apple and sweet potato (sr_legacy_food) | Babyfood, juice, apple-sweet potato (sr_legacy_food) | Babyfood, vegetables, sweet potatoes strained (sr_legacy_food)",30,"2178 Kensington Ave., Inc. BULGOGI SWEET POTATOES, CAULIFLOWER, EDAMAME, TOASTED SESAME SEEDS, MEATLESS CRUMBLES, BULGOGI SAUCE PLANT BASED BOWL, BULGOGI | 6th Sense Custom Lure Co. CHICKEN MOLE SEASON CHICKEN BREAST PIECES, BROWN RICE, SWEET POTATO AND AVOCADO, IN A RICH, SAVORY MOLE SAUCE, CHICKEN MOLE | 6th Sense Custom Lure Co. SWEET POTATO & LENTIL SHEPHERD'S PIE, SWEET POTATO & LENTIL SHEPHERD'S | 82's, LLC SWEET POTATO BBQ SAUCE | 82's, LLC SWEET POTATO BBQ SAUCE | A'Zoe Enterprize FROZEN PIE FILLING, SWEET POTATO | A'Zoe Enterprize FROZEN PIE FILLING, SWEET POTATO | A'Zoe Enterprize FROZEN PIE FILLING, SWEET POTATO",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",category_estimate,,
03010570:PPI,"Mung bean, ML-613, whole, raw",PPI,139.3,ROYAL WHOLE GREEN MUNG BEANS,branded_food,fuzzy,"top two name-search candidates ('ROYAL WHOLE GREEN MUNG BEANS', 'Mung beans, mature seeds, raw') are too textually similar to the source description (0.32 vs 0.66 similarity) to place confidently",0.32,0.66,0.34,OPEN — needs review,8,"Mung beans, mature seeds, cooked, boiled, with salt (sr_legacy_food) | Mung beans, mature seeds, cooked, boiled, without salt (sr_legacy_food) | Mung beans, mature seeds, raw (sr_legacy_food) | Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt (sr_legacy_food) | Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt (sr_legacy_food)",30,"BIO-BUD BIO-BUD, SPROUTED MUNG BEANS | BIO-BUD SPROUTED MUNG BEANS | Bob's Red Mill Natural Foods, Inc. HIGH FIBER MUNG BEANS | Bob's Red Mill Natural Foods, Inc. HIGH FIBER MUNG BEANS | Bob's Red Mill Natural Foods, Inc. HIGH FIBER MUNG BEANS | Bob's Red Mill Natural Foods, Inc. HIGH FIBER MUNG BEANS | Bob's Red Mill Natural Foods, Inc. HIGH FIBER MUNG BEANS | Bob's Red Mill Natural Foods, Inc. HIGH FIBER MUNG BEANS",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Mung beans, mature seeds, raw",category_estimate,,
05040001:PHYTCPP,"Apricot, processed",PHYTCPP,112.0,"Jams and preserves, apricot",sr_legacy_food,fuzzy,"top two name-search candidates ('Jams and preserves, apricot', 'Apricots, raw') are too textually similar to the source description (0.31 vs 0.65 similarity) to place confidently",0.31,0.65,0.34,OPEN — needs review,20,"Apricot nectar, canned, with added ascorbic acid (sr_legacy_food) | Apricot, with skin, raw (foundation_food) | Apricots, canned, extra heavy syrup pack, without skin, solids and liquids (sr_legacy_food) | Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program) (sr_legacy_food) | Apricots, canned, heavy syrup pack, with skin, solids and liquids (sr_legacy_food)",30,"1908 Brands, Inc. APRICOT PECAN CLUSTERS, APRICOT PECAN | 1908 Brands, Inc. APRICOT PECAN CLUSTERS, APRICOT PECAN | 1908 Brands, Inc. PALEO SNACK CLUSTERS, APRICOT PECAN | 1908 Brands, Inc. PALEO SNACK CLUSTERS, APRICOT PECAN | 1908 Brands, Inc. PALEO SNACK CLUSTERS, APRICOT PECAN | 1908 Brands, Inc. WHOLLY BITES!, APRICOT PECAN CLUSTERS SNACKS | ALBRECHT'S DELAFIELD MARKET DRIED APRICOTS | ALFEZ ALFEZ, MOROCCAN STYLE, TAGINE SAUCE, APRICOT & CILANTRO",genus word appears in rationale text — worth checking the unselected alternative directly,reject,,,'Processed' too vague to assign a specific candidate; neither jam nor raw apricot fits.,
03010198:PHYTCPPD,"Common bean, Baki wake, seed, raw",PHYTCPPD,1400.0,WARAKU DORAYAKI BAKED RED BEAN CAKE,branded_food,fuzzy,"top two name-search candidates ('WARAKU DORAYAKI BAKED RED BEAN CAKE', 'Winged beans, mature seeds, raw') are too textually similar to the source description (0.29 vs 0.62 similarity) to place confidently",0.29,0.62,0.33,OPEN — needs review,0,,0,,,reject,,,Wrong species (winged bean) and unrelated branded product; 'Baki wake' doesn't match known color-word pattern.,
06010143:IP6,"Peanut, seed, rose, dried",IP6,659.414,SE GROCERS DRY ROASTED PEANUTS,branded_food,fuzzy,"top two name-search candidates ('SE GROCERS DRY ROASTED PEANUTS', 'Pepeao, dried') are too textually similar to the source description (0.25 vs 0.58 similarity) to place confidently",0.25,0.58,0.33,OPEN — needs review,20,"Archway Home Style Cookies, Peanut Butter (sr_legacy_food) | Beverages, Meal supplement drink, canned, peanut flavor (sr_legacy_food) | Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate (sr_legacy_food) | Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies (sr_legacy_food) | Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies (sr_legacy_food)",30,"1AND8 INC PB&P PEANUT BUTTERY ICE CREAM WITH CHOCOLATEY COVERED PRETZEL PIECES & PEANUT BUTTER SWIRL, PB&P | 1AND8 INC PB&P PEANUT BUTTERY ICE CREAM WITH CHOCOLATEY COVERED PRETZEL PIECES & PEANUT BUTTER SWIRL, PB&P | 1st Phorm PEANUT BUTTER LOVER LEVEL-1 HIGH QUALITY PROTEIN BAR, PEANUT BUTTER LOVER | 5280 CHOCOLATE CARAMEL PEANUT BOULDERS, ASSORTED | 7 DAYS PEANUT BUTTER CREME & CHOCOLATE SOFT CROISSANT, PEANUT BUTTER CREME & CHOCOLATE | 7 DAYS PEANUT BUTTER CREME & JELLY SOFT CROISSANT, PEANUT BUTTER CREME & JELLY | 7 DAYS PEANUT BUTTER CREME & JELLY SOFT CROISSANT, PEANUT BUTTER CREME & JELLY | 7 DAYS SOFT CROISSANT, PEANUT BUTTER CREME & CHOCOLATE",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Peanuts, raw",category_estimate,,"'Rose' likely a testa-color variety, not a category."
01050089:PHYTCPPD,"Foniopaddy, Finiba, raw, dehulled and milled",PHYTCPPD,498.655,"Millet, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Millet, raw', 'STAR FEAST RAW PEELED AND DEVEINED') are too textually similar to the source description (0.22 vs 0.54 similarity) to place confidently",0.22,0.54,0.32,OPEN — needs review,0,,0,,,replace,"Fonio, grain, dry, raw",category_estimate,,
03010267:PHYT-,Cowpea flour,PHYT-,1631.4187999999997,"Flour, coconut",foundation_food,fuzzy,"top two name-search candidates ('Flour, coconut', 'Carob flour') are too textually similar to the source description (0.38 vs 0.70 similarity) to place confidently",0.38,0.7,0.32,OPEN — needs review,0,,0,,,reject,,,"Neither candidate (coconut, carob flour) is a legume; no dedicated cowpea flour entry.",
01020051:PHYTCPP,"Dumplings, corn-based, boiled in corn leaves",PHYTCPP,107.0,"Ito, Inc. PLANT-BASED DUMPLINGS",branded_food,fuzzy,"top two name-search candidates ('Ito, Inc. PLANT-BASED DUMPLINGS', 'Pumpkin leaves, cooked, boiled, drained, with salt') are too textually similar to the source description (0.24 vs 0.55 similarity) to place confidently",0.24,0.55,0.31,OPEN — needs review,2,"Babyfood, dinner, vegetables and dumplings and beef, junior (sr_legacy_food) | Babyfood, dinner, vegetables and dumplings and beef, strained (sr_legacy_food)",30,"ALESSI PREMIUM GNOCCHI DI PATATE ITALIAN POTATO DUMPLINGS, GLUTEN FREE GNOCCHI | ANNE'S ORIGINAL OLD FASHIONED FLAT DUMPLINGS, ORIGINAL | ANNE'S ORIGINAL OLD FASHIONED FLAT DUMPLINGS, ORIGINAL | Ahold USA, Inc. CHICKEN POTSTICKERS ASIAN INSPIRED DUMPLINGS WITH CHICKEN AND VEGETABLES, CHICKEN POTSTICKERS | Ahold USA, Inc. CHICKEN POTSTICKERS ASIAN INSPIRED DUMPLINGS WITH CHICKEN AND VEGETABLES, CHICKEN POTSTICKERS | Ajinomoto Foods North America, Inc. CHICKEN & VEGETABLE DUMPLINGS WITH SAVORY DIPPING SAUCE POTSTICKERS, CHICKEN & VEGETABLE | Ajinomoto Foods North America, Inc. CHICKEN & VEGETABLE DUMPLINGS WITH SAVORY DIPPING SAUCE POTSTICKERS, CHICKEN & VEGETABLE | Ajinomoto Foods North America, Inc. CHICKEN & VEGETABLE DUMPLINGS WITH SAVORY DIPPING SAUCE POTSTICKERS, CHICKEN & VEGETABLE",genus word appears in rationale text — worth checking the unselected alternative directly,reject,,,Tamale-style dumplings boiled in leaves; no FDC representation.,
01020052:PHYTCPP,"Dumplings, corn-based, boiled in corn leaves",PHYTCPP,210.0,"Ito, Inc. PLANT-BASED DUMPLINGS",branded_food,fuzzy,"top two name-search candidates ('Ito, Inc. PLANT-BASED DUMPLINGS', 'Pumpkin leaves, cooked, boiled, drained, with salt') are too textually similar to the source description (0.24 vs 0.55 similarity) to place confidently",0.24,0.55,0.31,OPEN — needs review,2,"Babyfood, dinner, vegetables and dumplings and beef, junior (sr_legacy_food) | Babyfood, dinner, vegetables and dumplings and beef, strained (sr_legacy_food)",30,"ALESSI PREMIUM GNOCCHI DI PATATE ITALIAN POTATO DUMPLINGS, GLUTEN FREE GNOCCHI | ANNE'S ORIGINAL OLD FASHIONED FLAT DUMPLINGS, ORIGINAL | ANNE'S ORIGINAL OLD FASHIONED FLAT DUMPLINGS, ORIGINAL | Ahold USA, Inc. CHICKEN POTSTICKERS ASIAN INSPIRED DUMPLINGS WITH CHICKEN AND VEGETABLES, CHICKEN POTSTICKERS | Ahold USA, Inc. CHICKEN POTSTICKERS ASIAN INSPIRED DUMPLINGS WITH CHICKEN AND VEGETABLES, CHICKEN POTSTICKERS | Ajinomoto Foods North America, Inc. CHICKEN & VEGETABLE DUMPLINGS WITH SAVORY DIPPING SAUCE POTSTICKERS, CHICKEN & VEGETABLE | Ajinomoto Foods North America, Inc. CHICKEN & VEGETABLE DUMPLINGS WITH SAVORY DIPPING SAUCE POTSTICKERS, CHICKEN & VEGETABLE | Ajinomoto Foods North America, Inc. CHICKEN & VEGETABLE DUMPLINGS WITH SAVORY DIPPING SAUCE POTSTICKERS, CHICKEN & VEGETABLE",genus word appears in rationale text — worth checking the unselected alternative directly,reject,,,Tamale-style dumplings boiled in leaves; no FDC representation.,
